"Player","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allstarFlag","allNBAFlag"
Larry Nance,"1993",8.7,2.9,3.3,16.5,0.587,0.187,0.659,1,0
Mark Price,"1993",2.7,8.0,1.3,18.2,0.609,0.197,0.659,1,1
Charles Barkley,"1993",12.2,5.1,2.5,25.6,0.596,0.242,0.756,1,1
Dan Majerle,"1993",4.7,3.8,2.1,16.9,0.573,0.147,0.756,1,0
Patrick Ewing,"1993",12.1,1.9,2.9,24.2,0.546,0.17,0.732,1,1
Hakeem Olajuwon,"1993",13.0,3.5,6.0,26.1,0.577,0.234,0.671,1,1
Clyde Drexler,"1993",6.3,5.7,2.7,19.9,0.517,0.171,0.622,1,0
Terry Porter,"1993",3.9,5.2,1.4,18.2,0.577,0.147,0.622,1,0
David Robinson,"1993",11.7,3.7,4.8,23.4,0.569,0.197,0.598,1,1
Sean Elliott,"1993",4.6,3.8,1.4,17.2,0.566,0.113,0.598,1,0
Detlef Schrempf,"1993",9.5,6.0,1.3,19.1,0.571,0.161,0.5,1,0
Shaquille O'Neal,"1993",13.9,1.9,4.3,23.4,0.584,0.163,0.5,1,0
Derrick Coleman,"1993",11.2,3.6,2.9,20.7,0.54,0.165,0.524,0,1
Danny Manning,"1993",6.6,2.6,2.6,22.8,0.565,0.137,0.5,1,0
Dominique Wilkins,"1993",6.8,3.2,1.4,29.9,0.57,0.191,0.524,1,1
Chris Mullin,"1993",5.0,3.6,2.4,25.9,0.578,0.122,0.415,1,0
Tim Hardaway,"1993",4.0,10.6,1.9,21.5,0.534,0.138,0.415,1,1
Isiah Thomas,"1993",2.9,8.5,1.8,17.6,0.488,0.061,0.488,1,0
Joe Dumars,"1993",1.9,4.0,1.1,23.5,0.555,0.141,0.488,1,1
Mitch Richmond,"1993",3.4,4.9,1.4,21.9,0.558,0.087,0.305,1,0
Gary Payton,"1994",3.3,6.0,2.5,16.5,0.526,0.155,0.768,1,1
Shawn Kemp,"1994",10.8,2.6,3.9,18.1,0.593,0.216,0.768,1,1
Charles Oakley,"1994",11.8,2.7,1.6,11.8,0.54,0.172,0.695,1,0
John Starks,"1994",3.1,5.9,1.7,19.0,0.516,0.135,0.695,1,0
Patrick Ewing,"1994",11.2,2.3,3.9,24.5,0.551,0.211,0.695,1,0
David Robinson,"1994",10.7,4.8,5.1,29.8,0.577,0.296,0.671,1,1
Mookie Blaylock,"1994",5.2,9.7,3.2,13.8,0.487,0.168,0.695,1,0
Charles Barkley,"1994",11.2,4.6,2.1,21.6,0.563,0.185,0.683,1,1
Kevin Johnson,"1994",2.5,9.5,2.0,20.0,0.566,0.17,0.683,1,1
Hakeem Olajuwon,"1994",11.9,3.6,5.3,27.3,0.565,0.21,0.707,1,1
Mark Price,"1994",3.0,7.8,1.5,17.3,0.586,0.201,0.573,1,1
Shaquille O'Neal,"1994",13.2,2.4,3.8,29.3,0.605,0.252,0.61,1,1
Horace Grant,"1994",11.0,3.4,2.3,15.1,0.54,0.188,0.671,1,0
Scottie Pippen,"1994",8.7,5.6,3.7,22.0,0.544,0.194,0.671,1,1
Clifford Robinson,"1994",6.7,1.9,2.8,20.1,0.513,0.126,0.573,1,0
Clyde Drexler,"1994",6.5,4.9,1.9,19.2,0.514,0.14,0.573,1,0
Derrick Coleman,"1994",11.3,3.4,2.7,20.2,0.534,0.171,0.549,1,1
Kenny Anderson,"1994",3.9,9.6,2.1,18.8,0.491,0.114,0.549,1,0
Latrell Sprewell,"1994",4.9,4.7,3.1,21.0,0.532,0.108,0.61,1,1
Mitch Richmond,"1994",3.7,4.0,1.5,23.4,0.551,0.106,0.341,1,1
Detlef Schrempf,"1995",6.2,3.8,1.6,19.2,0.641,0.215,0.695,1,1
Gary Payton,"1995",3.4,7.1,2.6,20.6,0.564,0.187,0.695,1,1
Shawn Kemp,"1995",10.9,1.8,2.7,18.7,0.61,0.19,0.695,1,1
Anfernee Hardaway,"1995",4.4,7.2,2.0,20.9,0.599,0.177,0.695,0,1
Shaquille O'Neal,"1995",11.4,2.7,3.4,29.3,0.588,0.23,0.695,1,1
David Robinson,"1995",10.8,2.9,4.9,27.6,0.602,0.273,0.756,1,1
Dennis Rodman,"1995",16.8,2.0,1.1,7.1,0.604,0.178,0.756,0,1
Scottie Pippen,"1995",8.1,5.2,4.1,21.4,0.559,0.188,0.573,1,1
Charles Barkley,"1995",11.1,4.1,2.3,23.0,0.572,0.214,0.72,1,1
Dan Majerle,"1995",4.6,4.1,1.6,15.6,0.555,0.12,0.72,1,0
Reggie Miller,"1995",2.6,3.0,1.4,19.6,0.62,0.204,0.634,1,1
Patrick Ewing,"1995",11.0,2.7,2.9,23.9,0.555,0.157,0.671,1,0
Hakeem Olajuwon,"1995",10.8,3.5,5.2,27.8,0.563,0.181,0.573,1,1
Dikembe Mutombo,"1995",12.5,1.4,4.4,11.5,0.595,0.135,0.5,1,0
Tyrone Hill,"1995",10.9,0.8,1.4,13.8,0.554,0.138,0.524,1,0
Cedric Ceballos,"1995",8.0,1.8,1.4,21.7,0.57,0.123,0.585,1,0
Mitch Richmond,"1995",4.4,3.8,1.5,22.8,0.551,0.12,0.476,1,1
Vin Baker,"1995",10.3,3.6,2.5,17.7,0.511,0.083,0.415,1,0
Latrell Sprewell,"1995",3.7,4.0,2.3,20.6,0.519,0.034,0.317,1,0
Dana Barros,"1995",3.3,7.5,1.9,20.6,0.632,0.183,0.293,1,0
Grant Hill,"1995",6.4,5.0,2.7,19.9,0.541,0.097,0.341,1,0
Joe Dumars,"1995",2.4,5.5,1.2,18.1,0.541,0.032,0.341,1,0
Michael Jordan,"1996",6.6,4.3,2.7,30.4,0.582,0.317,0.878,1,1
Scottie Pippen,"1996",6.4,5.9,2.5,19.4,0.551,0.209,0.878,1,1
Gary Payton,"1996",4.2,7.5,3.1,19.3,0.554,0.174,0.78,1,1
Shawn Kemp,"1996",11.4,2.2,2.8,19.6,0.631,0.205,0.78,1,1
David Robinson,"1996",12.2,3.0,4.7,25.0,0.589,0.29,0.72,1,1
Sean Elliott,"1996",5.1,2.7,1.3,20.0,0.585,0.128,0.72,1,0
Anfernee Hardaway,"1996",4.3,7.1,2.5,21.7,0.605,0.229,0.732,0,1
Shaquille O'Neal,"1996",11.0,2.9,2.8,26.6,0.57,0.171,0.732,1,1
Reggie Miller,"1996",2.8,3.3,1.2,21.1,0.625,0.188,0.634,1,1
Terrell Brandon,"1996",3.3,6.5,2.2,19.3,0.573,0.237,0.573,1,0
Grant Hill,"1996",9.8,6.9,1.9,20.2,0.537,0.172,0.561,1,1
Patrick Ewing,"1996",10.6,2.1,3.3,22.5,0.516,0.116,0.573,1,0
Clyde Drexler,"1996",7.2,5.8,2.5,19.3,0.551,0.161,0.585,1,0
Hakeem Olajuwon,"1996",10.9,3.6,4.4,26.9,0.558,0.166,0.585,1,1
Alonzo Mourning,"1996",10.4,2.3,3.7,23.2,0.584,0.178,0.512,1,0
Juwan Howard,"1996",8.1,4.4,1.3,22.1,0.53,0.082,0.476,1,1
Charles Barkley,"1996",11.6,3.7,2.4,23.2,0.585,0.191,0.5,1,1
Dikembe Mutombo,"1996",11.8,1.5,5.0,11.0,0.562,0.134,0.427,1,0
Mitch Richmond,"1996",3.3,3.1,1.8,23.1,0.591,0.151,0.476,1,1
Jason Kidd,"1996",6.8,9.7,2.5,16.6,0.468,0.068,0.317,1,0
Vin Baker,"1996",9.9,2.6,1.9,21.1,0.527,0.089,0.305,1,0
Michael Jordan,"1997",5.9,4.3,2.2,29.6,0.567,0.283,0.841,1,1
Scottie Pippen,"1997",6.5,5.7,2.4,20.2,0.554,0.203,0.841,1,1
Detlef Schrempf,"1997",6.5,4.4,1.3,16.8,0.592,0.174,0.695,1,0
Gary Payton,"1997",4.6,7.1,2.6,21.8,0.545,0.193,0.695,1,1
Shawn Kemp,"1997",10.0,1.9,2.5,18.7,0.583,0.174,0.695,1,0
Christian Laettner,"1997",8.8,2.7,2.0,18.1,0.562,0.177,0.683,1,0
Dikembe Mutombo,"1997",11.6,1.4,3.9,13.3,0.584,0.183,0.683,1,0
Alonzo Mourning,"1997",9.9,1.6,3.7,19.8,0.578,0.174,0.744,1,0
Tim Hardaway,"1997",3.4,8.6,2.0,20.3,0.532,0.198,0.744,1,1
Grant Hill,"1997",9.0,7.3,2.4,21.4,0.556,0.223,0.659,1,1
Joe Dumars,"1997",2.4,4.0,0.7,14.7,0.586,0.144,0.659,1,0
Charles Barkley,"1997",13.5,4.7,1.8,19.2,0.581,0.224,0.695,1,0
Clyde Drexler,"1997",6.0,5.7,2.5,18.0,0.548,0.172,0.695,1,0
Hakeem Olajuwon,"1997",9.2,3.0,3.7,23.2,0.558,0.154,0.695,1,1
Eddie Jones,"1997",4.1,3.4,3.0,17.2,0.559,0.154,0.683,1,0
Shaquille O'Neal,"1997",12.5,3.1,3.8,26.2,0.556,0.197,0.683,1,1
Patrick Ewing,"1997",10.7,2.0,3.3,22.4,0.548,0.163,0.695,1,1
Terrell Brandon,"1997",3.9,6.3,2.2,19.5,0.526,0.181,0.512,1,0
Chris Webber,"1997",10.3,4.6,3.6,20.1,0.554,0.159,0.537,1,0
Anfernee Hardaway,"1997",4.5,5.6,2.2,20.5,0.554,0.175,0.549,0,1
Kevin Garnett,"1997",8.0,3.1,3.5,17.0,0.537,0.116,0.488,1,0
Tom Gugliotta,"1997",8.7,4.1,2.7,20.6,0.526,0.103,0.488,1,0
Vin Baker,"1997",10.3,2.7,2.5,21.0,0.553,0.127,0.402,1,1
Mitch Richmond,"1997",3.9,4.2,1.8,25.9,0.578,0.166,0.415,1,1
Latrell Sprewell,"1997",4.6,6.3,2.2,24.2,0.57,0.115,0.366,1,0
Eddie Jones,"1998",3.8,3.1,2.7,16.9,0.592,0.166,0.744,1,0
Kobe Bryant,"1998",3.1,2.5,1.4,15.4,0.548,0.147,0.744,1,0
Nick Van Exel,"1998",3.0,6.9,1.1,13.8,0.538,0.166,0.744,1,0
Shaquille O'Neal,"1998",11.4,2.4,3.1,28.3,0.587,0.224,0.744,1,1
Gary Payton,"1998",4.6,8.3,2.5,19.2,0.544,0.19,0.744,1,1
Vin Baker,"1998",8.0,1.9,2.2,19.2,0.564,0.169,0.744,1,1
Michael Jordan,"1998",5.8,3.5,2.3,28.7,0.533,0.238,0.756,1,1
Scottie Pippen,"1998",5.2,5.8,2.8,19.1,0.533,0.193,0.756,0,1
Reggie Miller,"1998",2.9,2.1,1.1,19.5,0.619,0.206,0.707,1,1
Rik Smits,"1998",6.9,1.4,1.8,16.7,0.532,0.141,0.707,1,0
Jason Kidd,"1998",6.2,9.1,2.3,11.6,0.502,0.123,0.683,1,0
Tim Hardaway,"1998",3.7,8.3,1.9,18.9,0.53,0.185,0.671,1,1
David Robinson,"1998",10.6,2.7,3.5,21.6,0.581,0.269,0.683,1,1
Tim Duncan,"1998",11.9,2.7,3.2,21.1,0.577,0.192,0.683,1,1
Dikembe Mutombo,"1998",11.4,1.0,3.8,13.4,0.584,0.177,0.61,1,1
Steve Smith,"1998",4.2,4.0,1.4,20.1,0.563,0.171,0.61,1,0
Shawn Kemp,"1998",9.3,2.5,2.5,18.0,0.512,0.118,0.573,1,0
Grant Hill,"1998",7.7,6.8,2.4,21.1,0.52,0.149,0.451,1,1
Jayson Williams,"1998",13.6,1.0,1.4,12.9,0.541,0.172,0.524,1,0
Rod Strickland,"1998",5.3,10.5,2.0,17.8,0.501,0.129,0.512,0,1
Kevin Garnett,"1998",9.6,4.2,3.5,18.5,0.527,0.143,0.549,1,0
Antoine Walker,"1998",10.2,3.3,2.5,22.4,0.481,0.07,0.439,1,0
Mitch Richmond,"1998",3.3,4.0,1.5,23.2,0.569,0.148,0.329,1,1
Tim Duncan,"1999",11.4,2.4,3.4,21.7,0.541,0.213,0.74,0,1
Alonzo Mourning,"1999",11.0,1.6,4.7,20.1,0.563,0.216,0.66,0,1
Tim Hardaway,"1999",3.2,7.3,1.3,17.4,0.511,0.146,0.66,0,1
Grant Hill,"1999",7.1,6.0,2.1,21.1,0.543,0.189,0.58,0,1
Kobe Bryant,"1999",5.3,3.8,2.4,19.9,0.549,0.13,0.62,0,1
Shaquille O'Neal,"1999",10.7,2.3,2.4,26.3,0.584,0.255,0.62,0,1
Hakeem Olajuwon,"1999",9.6,1.8,4.1,18.9,0.559,0.175,0.62,0,1
Jason Kidd,"1999",6.8,10.8,2.7,16.9,0.527,0.188,0.54,0,1
Allen Iverson,"1999",4.9,4.6,2.4,26.8,0.508,0.173,0.56,0,1
Kevin Garnett,"1999",10.4,4.3,3.4,20.8,0.493,0.146,0.5,0,1
Chris Webber,"1999",13.0,4.1,3.5,20.0,0.491,0.102,0.54,0,1
Gary Payton,"1999",4.9,8.7,2.4,21.7,0.519,0.172,0.5,0,1
Antonio McDyess,"1999",10.7,1.6,3.8,21.2,0.515,0.105,0.28,0,1
Kobe Bryant,"2000",6.3,4.9,2.5,22.5,0.546,0.202,0.817,1,1
Shaquille O'Neal,"2000",13.6,3.8,3.5,29.7,0.578,0.283,0.817,1,1
Rasheed Wallace,"2000",7.0,1.8,2.4,16.4,0.556,0.156,0.72,1,0
David Robinson,"2000",9.6,1.8,3.5,17.8,0.568,0.238,0.646,1,1
Tim Duncan,"2000",12.4,3.2,3.1,23.2,0.555,0.218,0.646,1,1
Jason Kidd,"2000",7.2,10.1,2.4,14.3,0.498,0.156,0.646,1,1
Dale Davis,"2000",9.9,0.9,2.0,10.0,0.537,0.161,0.683,1,0
Reggie Miller,"2000",3.0,2.3,1.4,18.1,0.603,0.162,0.683,1,0
Alonzo Mourning,"2000",9.5,1.6,4.2,21.7,0.596,0.226,0.634,1,1
Chris Webber,"2000",10.5,4.6,3.3,24.5,0.53,0.179,0.537,1,1
Kevin Garnett,"2000",11.8,5.0,3.0,22.9,0.545,0.172,0.61,1,1
Allan Houston,"2000",3.3,2.7,1.0,19.7,0.569,0.13,0.61,1,0
Grant Hill,"2000",6.6,5.2,2.0,25.8,0.565,0.185,0.512,1,1
Jerry Stackhouse,"2000",3.8,4.5,1.7,23.6,0.545,0.111,0.512,1,0
Allen Iverson,"2000",3.8,4.7,2.1,28.4,0.496,0.116,0.598,1,1
Gary Payton,"2000",6.5,8.9,2.1,24.2,0.535,0.195,0.549,1,1
Glenn Robinson,"2000",6.0,2.4,1.5,20.9,0.534,0.08,0.512,1,0
Ray Allen,"2000",4.4,3.8,1.6,22.1,0.57,0.157,0.512,1,0
Vince Carter,"2000",5.8,3.9,2.5,25.7,0.543,0.182,0.549,1,1
Michael Finley,"2000",6.3,5.3,1.7,22.6,0.522,0.114,0.488,1,0
Stephon Marbury,"2000",3.2,8.4,1.7,22.2,0.528,0.123,0.378,0,1
Dikembe Mutombo,"2000",14.1,1.3,3.6,11.5,0.621,0.16,0.341,1,0
David Robinson,"2001",8.6,1.5,3.5,14.4,0.559,0.246,0.707,1,1
Tim Duncan,"2001",12.2,3.0,3.2,22.2,0.536,0.2,0.707,1,1
Chris Webber,"2001",11.1,4.2,3.0,27.1,0.516,0.186,0.671,1,1
Vlade Divac,"2001",8.3,2.9,2.2,12.0,0.536,0.147,0.671,1,0
Allen Iverson,"2001",3.8,4.6,2.8,31.1,0.518,0.19,0.683,1,1
Theo Ratliff,"2001",8.3,1.2,4.3,12.4,0.562,0.138,0.683,1,0
Rasheed Wallace,"2001",7.8,2.8,2.9,19.2,0.56,0.18,0.61,1,0
Dirk Nowitzki,"2001",9.2,2.1,2.2,21.8,0.601,0.224,0.646,0,1
Michael Finley,"2001",5.2,4.4,1.8,21.5,0.521,0.119,0.646,1,0
Glenn Robinson,"2001",6.9,3.3,1.9,22.0,0.525,0.114,0.634,1,0
Ray Allen,"2001",5.2,4.6,1.8,22.0,0.61,0.211,0.634,1,1
Kobe Bryant,"2001",5.9,5.0,2.3,28.5,0.552,0.196,0.683,1,1
Shaquille O'Neal,"2001",12.7,3.7,3.4,28.7,0.574,0.245,0.683,1,1
Allan Houston,"2001",3.6,2.2,0.8,18.7,0.543,0.126,0.585,1,0
Latrell Sprewell,"2001",4.5,3.5,1.7,17.7,0.497,0.082,0.585,1,0
Alonzo Mourning,"2001",7.8,0.9,2.7,13.6,0.536,0.148,0.61,1,0
Anthony Mason,"2001",9.6,3.1,1.3,16.1,0.555,0.171,0.61,1,0
Antonio Davis,"2001",10.1,1.4,2.2,13.7,0.508,0.127,0.573,1,0
Vince Carter,"2001",5.5,3.9,2.6,27.6,0.551,0.208,0.573,1,1
Jason Kidd,"2001",6.4,9.8,2.5,16.9,0.51,0.15,0.622,1,1
Kevin Garnett,"2001",11.4,5.0,3.2,22.0,0.531,0.176,0.573,1,1
Grant Hill,"2001",6.3,6.3,1.8,13.8,0.505,0.126,0.524,1,0
Tracy McGrady,"2001",7.5,4.6,3.0,26.8,0.521,0.189,0.524,1,1
Gary Payton,"2001",4.6,8.1,1.9,23.1,0.522,0.16,0.537,1,1
Jerry Stackhouse,"2001",3.9,5.1,1.9,29.8,0.521,0.137,0.39,1,0
Antonio McDyess,"2001",12.1,2.1,2.1,20.8,0.538,0.146,0.488,1,0
Stephon Marbury,"2001",3.1,7.6,1.3,23.9,0.54,0.147,0.317,1,0
Chris Webber,"2002",10.1,4.8,3.1,24.5,0.54,0.2,0.744,1,1
Peja Stojakovic,"2002",5.3,2.5,1.3,21.2,0.592,0.179,0.744,1,0
Kobe Bryant,"2002",5.5,5.5,1.9,25.2,0.544,0.199,0.707,1,1
Shaquille O'Neal,"2002",10.7,3.0,2.7,27.2,0.59,0.262,0.707,1,1
Tim Duncan,"2002",12.7,3.7,3.2,25.5,0.576,0.257,0.707,1,1
Jason Kidd,"2002",7.3,9.9,2.4,14.7,0.484,0.14,0.634,1,1
Dirk Nowitzki,"2002",9.9,2.4,2.1,23.4,0.599,0.222,0.695,1,1
Steve Nash,"2002",3.1,7.7,0.7,17.9,0.602,0.167,0.695,1,1
Kevin Garnett,"2002",12.1,5.2,2.7,21.2,0.536,0.194,0.61,1,1
Wally Szczerbiak,"2002",4.8,3.1,1.1,18.7,0.58,0.134,0.61,1,0
Gary Payton,"2002",4.8,9.0,1.9,22.1,0.526,0.183,0.549,1,1
Antoine Walker,"2002",8.8,5.0,2.0,22.1,0.49,0.094,0.598,1,0
Paul Pierce,"2002",6.9,3.2,2.9,26.1,0.57,0.187,0.598,1,1
Ben Wallace,"2002",13.0,1.4,5.2,7.6,0.522,0.19,0.61,0,1
Allen Iverson,"2002",4.5,5.5,3.0,31.4,0.489,0.126,0.524,1,1
Dikembe Mutombo,"2002",10.8,1.0,2.7,11.5,0.574,0.158,0.524,1,1
Tracy McGrady,"2002",7.9,5.3,2.5,25.6,0.532,0.189,0.537,1,1
Jermaine O'Neal,"2002",10.5,1.6,2.9,19.0,0.521,0.113,0.512,1,1
Ray Allen,"2002",4.5,3.9,1.5,21.8,0.598,0.169,0.5,1,0
Elton Brand,"2002",11.6,2.4,3.0,18.2,0.586,0.216,0.476,1,0
Vince Carter,"2002",5.2,4.0,2.3,24.7,0.515,0.14,0.512,1,0
Michael Jordan,"2002",5.7,5.2,1.9,22.9,0.468,0.075,0.451,1,0
Alonzo Mourning,"2002",8.4,1.2,2.8,15.7,0.558,0.145,0.439,1,0
Shareef Abdur-Rahim,"2002",9.0,3.1,2.3,21.2,0.536,0.116,0.402,1,0
Steve Francis,"2002",7.0,6.4,1.7,21.6,0.517,0.091,0.341,1,0
Dirk Nowitzki,"2003",9.9,3.0,2.4,25.1,0.581,0.249,0.732,1,1
Steve Nash,"2003",2.9,7.3,1.1,17.7,0.576,0.206,0.732,1,1
Chris Webber,"2003",10.5,5.4,2.9,23.0,0.485,0.127,0.72,1,1
Peja Stojakovic,"2003",5.5,2.0,1.1,19.2,0.6,0.199,0.72,1,0
Tim Duncan,"2003",12.9,3.9,3.6,23.3,0.564,0.248,0.732,1,1
Jason Kidd,"2003",6.3,8.9,2.6,18.7,0.526,0.182,0.598,1,1
