"Player","Year","Age","RPG","APG","SPG","BPG","TOPG","PPG","TS","3PAr","FTr","WS48","Perc","allstarFlag","allNBAFlag"
Charles Barkley,"1993",29,12.2,5.1,1.6,1.0,3.1,25.6,0.596,0.16,0.423,0.242,0.756,1,1
Patrick Ewing,"1993",30,12.1,1.9,0.9,2.0,3.3,24.2,0.546,0.005,0.359,0.17,0.732,1,1
Hakeem Olajuwon,"1993",30,13.0,3.5,1.8,4.2,3.2,26.1,0.577,0.005,0.356,0.234,0.671,1,1
David Robinson,"1993",27,11.7,3.7,1.5,3.2,2.9,23.4,0.569,0.013,0.568,0.197,0.598,1,1
Dominique Wilkins,"1993",33,6.8,3.2,1.0,0.4,2.6,29.9,0.57,0.199,0.396,0.191,0.524,1,1
Tim Hardaway,"1993",26,4.0,10.6,1.8,0.2,3.3,21.5,0.534,0.265,0.314,0.138,0.415,1,1
Joe Dumars,"1993",29,1.9,4.0,1.0,0.1,1.8,23.5,0.555,0.206,0.273,0.141,0.488,1,1
Gary Payton,"1994",25,3.3,6.0,2.3,0.2,2.1,16.5,0.526,0.047,0.241,0.155,0.768,1,1
Shawn Kemp,"1994",24,10.8,2.6,1.8,2.1,3.3,18.1,0.593,0.004,0.496,0.216,0.768,1,1
David Robinson,"1994",28,10.7,4.8,1.7,3.3,3.2,29.8,0.577,0.017,0.558,0.296,0.671,1,1
Charles Barkley,"1994",30,11.2,4.6,1.6,0.6,3.2,21.6,0.563,0.17,0.432,0.185,0.683,1,1
Kevin Johnson,"1994",27,2.5,9.5,1.9,0.1,3.5,20.0,0.566,0.028,0.473,0.17,0.683,1,1
Hakeem Olajuwon,"1994",31,11.9,3.6,1.6,3.7,3.4,27.3,0.565,0.011,0.32,0.21,0.707,1,1
Mark Price,"1994",29,3.0,7.8,1.4,0.1,2.5,17.3,0.586,0.296,0.267,0.201,0.573,1,1
Shaquille O'Neal,"1994",21,13.2,2.4,0.9,2.9,2.7,29.3,0.605,0.001,0.534,0.252,0.61,1,1
Scottie Pippen,"1994",28,8.7,5.6,2.9,0.8,3.2,22.0,0.544,0.154,0.32,0.194,0.671,1,1
Derrick Coleman,"1994",26,11.3,3.4,0.9,1.8,2.7,20.2,0.534,0.1,0.469,0.171,0.549,1,1
Latrell Sprewell,"1994",23,4.9,4.7,2.2,0.9,2.8,21.0,0.532,0.276,0.322,0.108,0.61,1,1
Mitch Richmond,"1994",28,3.7,4.0,1.3,0.2,2.8,23.4,0.551,0.218,0.358,0.106,0.341,1,1
Detlef Schrempf,"1995",32,6.2,3.8,1.1,0.4,2.1,19.2,0.641,0.182,0.523,0.215,0.695,1,1
Gary Payton,"1995",26,3.4,7.1,2.5,0.2,2.5,20.6,0.564,0.172,0.259,0.187,0.695,1,1
Shawn Kemp,"1995",25,10.9,1.8,1.2,1.5,3.2,18.7,0.61,0.007,0.587,0.19,0.695,1,1
