"Player","MP","G","MPG","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allLeague"
Chris Paul,2181,60,36.4,"2012",3.6,9.1,2.6,19.8,0.581,0.278,0.606,1
Marc Gasol,2370,65,36.5,"2012",8.9,3.1,2.8,14.6,0.541,0.166,0.621,1
Andrew Bynum,2112,60,35.2,"2012",11.8,1.4,2.4,18.7,0.594,0.183,0.621,1
Kobe Bryant,2232,58,38.5,"2012",5.4,4.6,1.5,27.9,0.527,0.132,0.621,1
Dirk Nowitzki,2079,62,33.5,"2012",6.7,2.2,1.2,21.6,0.564,0.175,0.545,1
Dwight Howard,2070,54,38.3,"2012",14.5,1.9,3.6,20.6,0.569,0.179,0.561,1
Steve Nash,1961,62,31.6,"2012",3.0,10.7,0.7,12.5,0.625,0.144,0.5,1
LaMarcus Aldridge,1994,55,36.3,"2012",8.0,2.4,1.7,21.7,0.56,0.169,0.424,1
Kevin Love,2145,55,39.0,"2012",13.3,2.0,1.4,26.0,0.568,0.223,0.394,1
Deron Williams,1999,55,36.3,"2012",3.3,8.7,1.6,21.0,0.527,0.099,0.333,1
Kevin Durant,3119,81,38.5,"2013",7.9,4.6,2.7,28.1,0.647,0.291,0.732,1
Russell Westbrook,2861,82,34.9,"2013",5.2,7.4,2.1,23.2,0.532,0.195,0.732,1
Chris Bosh,2454,74,33.2,"2013",6.8,1.7,2.3,16.6,0.592,0.175,0.805,1
Dwyane Wade,2391,69,34.7,"2013",5.0,5.1,2.7,21.2,0.571,0.192,0.805,1
LeBron James,2877,76,37.9,"2013",8.0,7.3,2.6,26.8,0.64,0.322,0.805,1
Blake Griffin,2598,80,32.5,"2013",8.3,3.7,1.8,18.0,0.572,0.196,0.683,1
Chris Paul,2335,70,33.4,"2013",3.7,9.7,2.6,16.9,0.594,0.287,0.683,1
Tim Duncan,2078,69,30.1,"2013",9.9,2.7,3.4,17.8,0.554,0.191,0.707,1
Tony Parker,2174,66,32.9,"2013",3.0,7.6,0.9,20.3,0.588,0.206,0.707,1
Carmelo Anthony,2482,67,37.0,"2013",6.9,2.6,1.3,28.7,0.56,0.184,0.659,1
Tyson Chandler,2164,66,32.8,"2013",10.7,0.9,1.8,10.4,0.671,0.207,0.659,1
Marc Gasol,2796,80,35.0,"2013",7.8,4.0,2.7,14.1,0.559,0.197,0.683,1
Zach Randolph,2607,76,34.3,"2013",11.2,1.4,1.2,15.4,0.506,0.145,0.683,1
Paul George,2972,79,37.6,"2013",7.6,4.1,2.5,17.4,0.531,0.145,0.605,1
James Harden,2985,78,38.3,"2013",4.9,5.8,2.3,25.9,0.6,0.206,0.549,1
Brook Lopez,2253,74,30.4,"2013",6.9,0.9,2.5,19.4,0.567,0.191,0.598,1
Dwight Howard,2722,76,35.8,"2013",12.4,1.4,3.6,17.1,0.573,0.134,0.549,1
Kobe Bryant,3013,78,38.6,"2013",5.6,6.0,1.7,27.3,0.57,0.174,0.549,1
David Lee,2907,79,36.8,"2013",11.2,3.5,1.1,18.5,0.561,0.15,0.573,1
Joakim Noah,2426,66,36.8,"2013",11.1,4.0,3.3,11.9,0.534,0.145,0.549,1
Luol Deng,2903,75,38.7,"2013",6.3,3.0,1.5,16.5,0.508,0.105,0.549,1
Kevin Garnett,2022,68,29.7,"2013",7.8,2.3,2.1,14.8,0.535,0.133,0.506,1
Rajon Rondo,1423,38,37.4,"2013",5.6,11.1,2.1,13.7,0.516,0.108,0.506,1
LaMarcus Aldridge,2790,74,37.7,"2013",9.1,2.6,2.1,21.1,0.53,0.124,0.402,1
Jrue Holiday,2926,78,37.5,"2013",4.2,8.0,2.0,17.7,0.496,0.055,0.415,1
Kyrie Irving,2048,59,34.7,"2013",3.7,5.9,1.9,22.5,0.553,0.125,0.293,1
Tony Parker,1997,68,29.4,"2014",2.3,5.7,0.7,16.7,0.555,0.141,0.756,1
Blake Griffin,2863,80,35.8,"2014",9.5,3.9,1.8,24.1,0.583,0.205,0.695,1
Chris Paul,2171,62,35.0,"2014",4.3,10.7,2.5,19.1,0.58,0.27,0.695,1
Kevin Durant,3122,81,38.5,"2014",7.4,5.5,2.0,32.0,0.635,0.295,0.72,1
Chris Bosh,2531,79,32.0,"2014",6.6,1.1,2.0,16.2,0.597,0.152,0.659,1
Dwyane Wade,1775,54,32.9,"2014",4.5,4.7,2.0,19.0,0.588,0.149,0.659,1
LeBron James,2902,77,37.7,"2014",6.9,6.3,1.9,27.1,0.649,0.264,0.659,1
Stephen Curry,2846,78,36.5,"2014",4.3,8.5,1.8,24.0,0.61,0.225,0.622,1
Paul George,2898,80,36.2,"2014",6.8,3.5,2.2,21.7,0.555,0.178,0.683,1
Roy Hibbert,2409,81,29.7,"2014",6.6,1.1,2.6,10.8,0.499,0.108,0.683,1
Dwight Howard,2396,71,33.7,"2014",12.2,1.8,2.6,18.3,0.6,0.161,0.659,1
James Harden,2777,73,38.0,"2014",4.7,6.1,2.0,25.4,0.618,0.221,0.659,1
Damian Lillard,2937,82,35.8,"2014",3.5,5.6,1.0,20.7,0.568,0.157,0.659,1
LaMarcus Aldridge,2498,69,36.2,"2014",11.1,2.6,1.9,23.2,0.507,0.144,0.659,1
DeMar DeRozan,3017,79,38.2,"2014",4.3,4.0,1.4,22.7,0.532,0.141,0.585,1
Goran Dragic,2668,76,35.1,"2014",3.2,5.9,1.7,20.3,0.604,0.186,0.585,1
Kevin Love,2797,77,36.3,"2014",12.5,4.4,1.2,26.1,0.591,0.245,0.488,1
Dirk Nowitzki,2628,80,32.9,"2014",6.2,2.7,1.5,21.7,0.603,0.199,0.598,1
Joakim Noah,2820,80,35.3,"2014",11.3,5.4,2.8,12.6,0.531,0.19,0.585,1
John Wall,2980,82,36.3,"2014",4.1,8.8,2.3,19.3,0.524,0.128,0.537,1
Al Jefferson,2553,73,35.0,"2014",10.8,2.1,2.0,21.8,0.532,0.146,0.524,1
Paul Millsap,2482,74,33.5,"2014",8.5,3.1,2.8,17.9,0.545,0.129,0.463,1
Carmelo Anthony,2982,77,38.7,"2014",8.1,3.1,1.9,27.4,0.561,0.172,0.451,1
Joe Johnson,2575,79,32.6,"2014",3.4,2.7,0.7,15.8,0.564,0.091,0.537,1
Anthony Davis,2358,67,35.2,"2014",10.0,1.6,4.1,20.8,0.582,0.212,0.415,1
Kyrie Irving,2496,71,35.2,"2014",3.6,6.1,1.8,20.8,0.533,0.128,0.402,1
Kobe Bryant,177,6,29.5,"2014",4.3,6.3,1.3,13.8,0.505,-0.097,0.329,1
Klay Thompson,2455,77,31.9,"2015",3.2,2.9,1.9,21.7,0.591,0.172,0.817,1
Stephen Curry,2613,80,32.7,"2015",4.3,7.7,2.2,23.8,0.638,0.288,0.817,1
Blake Griffin,2356,67,35.2,"2015",7.6,5.3,1.5,21.9,0.551,0.183,0.683,1
Chris Paul,2857,82,34.8,"2015",4.6,10.2,2.1,19.1,0.596,0.27,0.683,1
DeAndre Jordan,2820,82,34.4,"2015",15.0,0.7,3.2,11.5,0.638,0.217,0.683,1
Tim Duncan,2227,77,28.9,"2015",9.1,3.0,2.8,13.9,0.56,0.207,0.671,1
Al Horford,2318,76,30.5,"2015",7.2,3.2,2.2,15.2,0.563,0.179,0.732,1
Jeff Teague,2228,73,30.5,"2015",2.5,7.0,2.1,15.9,0.566,0.166,0.732,1
Kyle Korver,2418,75,32.2,"2015",4.1,2.6,1.3,12.1,0.699,0.148,0.732,1
Paul Millsap,2390,73,32.7,"2015",7.8,3.1,2.7,16.7,0.565,0.166,0.732,1
Kyrie Irving,2730,75,36.4,"2015",3.2,5.2,1.8,21.7,0.583,0.183,0.646,1
LeBron James,2493,69,36.1,"2015",6.0,7.4,2.3,25.3,0.577,0.199,0.646,1
Damian Lillard,2925,82,35.7,"2015",4.6,6.2,1.4,21.0,0.56,0.174,0.622,1
LaMarcus Aldridge,2512,71,35.4,"2015",10.2,1.7,1.6,23.4,0.528,0.165,0.622,1
James Harden,2981,81,36.8,"2015",5.7,7.0,2.6,27.4,0.605,0.265,0.683,1
Marc Gasol,2687,81,33.2,"2015",7.8,3.8,2.5,17.4,0.558,0.182,0.671,1
Kyle Lowry,2414,70,34.5,"2015",4.7,6.8,1.7,17.8,0.527,0.141,0.598,1
Jimmy Butler,2513,65,38.7,"2015",5.8,3.3,2.3,20.0,0.583,0.214,0.61,1
Pau Gasol,2681,78,34.4,"2015",11.8,2.7,2.2,18.5,0.55,0.187,0.61,1
Dirk Nowitzki,2282,77,29.6,"2015",5.9,1.9,0.9,17.3,0.56,0.152,0.61,1
Kevin Durant,913,27,33.8,"2015",6.6,4.1,1.8,25.4,0.633,0.252,0.549,1
Russell Westbrook,2302,67,34.4,"2015",7.3,8.6,2.3,28.1,0.536,0.222,0.549,1
Anthony Davis,2455,68,36.1,"2015",10.2,2.2,4.4,24.4,0.591,0.274,0.549,1
John Wall,2837,79,35.9,"2015",4.6,10.0,2.3,17.6,0.523,0.132,0.561,1
Chris Bosh,1556,44,35.4,"2015",7.0,2.2,1.5,21.1,0.548,0.111,0.451,1
Dwyane Wade,1971,62,31.8,"2015",3.5,4.8,1.5,21.5,0.534,0.086,0.451,1
DeMarcus Cousins,2013,59,34.1,"2015",12.7,3.6,3.3,24.1,0.545,0.144,0.354,1
Kobe Bryant,1207,35,34.5,"2015",5.7,5.6,1.5,22.3,0.477,0.006,0.256,1
Carmelo Anthony,1428,40,35.7,"2015",6.6,3.1,1.4,24.2,0.531,0.097,0.207,1
Kawhi Leonard,2380,72,33.1,"2016",6.8,2.6,2.8,21.2,0.616,0.277,0.817,1
LaMarcus Aldridge,2261,74,30.6,"2016",8.5,1.5,1.6,18.0,0.565,0.215,0.817,1
Draymond Green,2808,81,34.7,"2016",9.5,7.4,2.9,14.0,0.587,0.19,0.89,1
Klay Thompson,2666,80,33.3,"2016",3.8,2.1,1.4,22.1,0.597,0.144,0.89,1
Stephen Curry,2700,79,34.2,"2016",5.4,6.7,2.3,30.1,0.669,0.318,0.89,1
Kevin Durant,2578,72,35.8,"2016",8.2,5.0,2.1,28.2,0.634,0.27,0.671,1
Russell Westbrook,2750,80,34.4,"2016",7.8,10.4,2.3,23.5,0.554,0.245,0.671,1
LeBron James,2709,76,35.6,"2016",7.4,6.8,2.0,25.3,0.588,0.242,0.695,1
DeMar DeRozan,2804,78,35.9,"2016",4.5,4.0,1.3,23.5,0.55,0.169,0.683,1
Kyle Lowry,2851,77,37.0,"2016",4.7,6.4,2.5,21.2,0.578,0.196,0.683,1
Chris Paul,2420,74,32.7,"2016",4.2,10.0,2.2,19.5,0.575,0.253,0.646,1
DeAndre Jordan,2598,77,33.7,"2016",13.8,1.2,3.0,12.7,0.628,0.213,0.646,1
Al Horford,2631,82,32.1,"2016",7.3,3.2,2.3,15.2,0.565,0.172,0.585,1
Paul Millsap,2647,81,32.7,"2016",9.0,3.3,3.5,17.1,0.556,0.183,0.585,1
Isaiah Thomas,2644,82,32.2,"2016",3.0,6.2,1.2,22.2,0.562,0.177,0.585,1
Chris Bosh,1778,53,33.5,"2016",7.4,2.4,1.3,19.1,0.571,0.172,0.585,1
Dwyane Wade,2258,74,30.5,"2016",4.1,4.6,1.6,19.0,0.517,0.105,0.585,1
Paul George,2819,81,34.8,"2016",7.0,4.1,2.2,23.1,0.557,0.157,0.549,1
Damian Lillard,2676,75,35.7,"2016",4.0,6.8,1.2,25.1,0.56,0.165,0.537,1
Andre Drummond,2666,81,32.9,"2016",14.8,0.8,2.9,16.2,0.499,0.133,0.537,1
James Harden,3125,82,38.1,"2016",6.1,7.5,2.3,29.0,0.598,0.204,0.5,1
John Wall,2784,77,36.2,"2016",4.9,10.2,2.6,19.9,0.51,0.098,0.5,1
Jimmy Butler,2474,67,36.9,"2016",5.3,4.8,2.3,20.9,0.562,0.177,0.512,1
Pau Gasol,2291,72,31.8,"2016",11.0,4.1,2.6,16.5,0.529,0.149,0.512,1
DeMarcus Cousins,2246,65,34.6,"2016",11.5,3.3,3.0,26.9,0.538,0.122,0.402,1
Carmelo Anthony,2530,72,35.1,"2016",7.7,4.2,1.4,21.8,0.53,0.121,0.39,1
Anthony Davis,2164,61,35.5,"2016",10.3,1.9,3.3,24.3,0.559,0.16,0.366,1
Kobe Bryant,1863,66,28.2,"2016",3.7,2.8,1.1,17.6,0.469,-0.01,0.207,1
Draymond Green,2471,76,32.5,"2017",7.9,7.0,3.4,10.2,0.522,0.16,0.817,1
Kevin Durant,2070,62,33.4,"2017",8.3,4.8,2.7,25.1,0.651,0.278,0.817,1
Klay Thompson,2649,78,34.0,"2017",3.7,2.1,1.4,22.3,0.592,0.129,0.817,1
Stephen Curry,2638,79,33.4,"2017",4.5,6.6,2.0,25.3,0.624,0.229,0.817,1
Kawhi Leonard,2474,74,33.4,"2017",5.8,3.5,2.5,25.5,0.61,0.264,0.744,1
James Harden,2947,81,36.4,"2017",8.1,11.2,2.0,29.1,0.613,0.245,0.671,1
DeMar DeRozan,2620,74,35.4,"2017",5.2,3.9,1.2,27.3,0.552,0.166,0.622,1
Kyle Lowry,2244,60,37.4,"2017",4.8,7.0,1.8,22.4,0.623,0.216,0.622,1
DeAndre Jordan,2570,81,31.7,"2017",13.8,1.2,2.3,12.7,0.673,0.221,0.622,1
Gordon Hayward,2516,73,34.5,"2017",5.4,3.5,1.3,21.9,0.595,0.199,0.622,1
Rudy Gobert,2744,81,33.9,"2017",12.8,1.2,3.2,14.0,0.681,0.25,0.622,1
Kevin Love,1885,60,31.4,"2017",11.1,1.9,1.2,19.0,0.573,0.163,0.622,1
Kyrie Irving,2525,72,35.1,"2017",3.2,5.8,1.5,25.2,0.58,0.17,0.622,1
LeBron James,2794,74,37.8,"2017",8.6,8.7,1.8,26.4,0.619,0.221,0.622,1
Isaiah Thomas,2569,76,33.8,"2017",2.7,5.9,1.1,28.9,0.625,0.234,0.646,1
John Wall,2836,78,36.4,"2017",4.2,10.7,2.6,23.1,0.541,0.149,0.598,1
Russell Westbrook,2802,81,34.6,"2017",10.7,10.4,2.0,31.6,0.554,0.224,0.573,1
Marc Gasol,2531,74,34.2,"2017",6.3,4.6,2.2,19.5,0.554,0.145,0.524,1
Jimmy Butler,2809,76,37.0,"2017",6.2,5.5,2.3,23.9,0.586,0.236,0.5,1
Kemba Walker,2739,79,34.7,"2017",3.9,5.5,1.4,23.2,0.569,0.142,0.439,1
Paul George,2689,75,35.9,"2017",6.6,3.3,1.9,23.7,0.587,0.126,0.512,1
Giannis Antetokounmpo,2845,80,35.6,"2017",8.8,5.4,3.5,22.9,0.599,0.21,0.512,1
Paul Millsap,2343,69,34.0,"2017",7.7,3.7,2.2,18.1,0.542,0.132,0.524,1
Anthony Davis,2708,75,36.1,"2017",11.8,2.1,3.5,28.0,0.58,0.195,0.415,1
Carmelo Anthony,2538,74,34.3,"2017",5.9,2.9,1.3,22.4,0.535,0.089,0.378,1
James Harden,2551,72,35.4,"2018",5.4,8.8,2.4,30.4,0.619,0.289,0.793,1
DeMar DeRozan,2711,80,33.9,"2018",3.9,5.2,1.3,23.0,0.555,0.17,0.72,1
Kyle Lowry,2510,78,32.2,"2018",5.6,6.9,1.3,16.2,0.598,0.194,0.72,1
Draymond Green,2287,70,32.7,"2018",7.6,7.3,2.7,11.0,0.556,0.127,0.707,1
Kevin Durant,2325,68,34.2,"2018",6.8,5.4,2.5,26.4,0.64,0.215,0.707,1
Klay Thompson,2506,73,34.3,"2018",3.8,2.5,1.2,20.0,0.598,0.094,0.707,1
Stephen Curry,1631,51,32.0,"2018",5.1,6.1,1.7,26.4,0.675,0.267,0.707,1
Joel Embiid,1912,63,30.3,"2018",11.0,3.2,2.4,22.9,0.573,0.155,0.634,1
Al Horford,2277,72,31.6,"2018",7.4,4.7,1.7,12.9,0.575,0.165,0.671,1
Kyrie Irving,1931,60,32.2,"2018",3.8,5.1,1.4,24.4,0.61,0.222,0.671,1
Paul George,2891,79,36.6,"2018",5.7,3.3,2.5,21.9,0.57,0.147,0.585,1
Russell Westbrook,2914,80,36.4,"2018",10.1,10.3,2.1,25.4,0.524,0.166,0.585,1
LaMarcus Aldridge,2509,75,33.5,"2018",8.5,2.0,1.8,23.1,0.57,0.209,0.573,1
Damian Lillard,2670,73,36.6,"2018",4.5,6.6,1.4,26.9,0.594,0.227,0.598,1
Jimmy Butler,2164,59,36.7,"2018",5.3,4.9,2.4,22.2,0.59,0.198,0.573,1
Karl-Anthony Towns,2918,82,35.6,"2018",12.3,2.4,2.2,21.3,0.646,0.23,0.573,1
Victor Oladipo,2552,75,34.0,"2018",5.2,4.3,3.1,23.1,0.577,0.155,0.585,1
Anthony Davis,2727,75,36.4,"2018",11.1,2.3,4.1,28.1,0.612,0.241,0.585,1
DeMarcus Cousins,1737,48,36.2,"2018",12.9,5.4,3.2,25.2,0.583,0.13,0.585,1
Kevin Love,1651,59,28.0,"2018",9.3,1.7,1.1,17.6,0.614,0.185,0.61,1
LeBron James,3026,82,36.9,"2018",8.6,9.1,2.3,27.5,0.621,0.221,0.61,1
Bradley Beal,2977,82,36.3,"2018",4.4,4.5,1.6,22.6,0.564,0.111,0.524,1
John Wall,1410,41,34.4,"2018",3.7,9.6,2.5,19.4,0.515,0.092,0.524,1
Goran Dragic,2378,75,31.7,"2018",4.1,4.8,1.0,17.3,0.543,0.106,0.537,1
Kemba Walker,2736,80,34.2,"2018",3.1,5.6,1.4,22.1,0.572,0.15,0.439,1
Andre Drummond,2625,78,33.7,"2018",16.0,3.0,3.1,15.0,0.555,0.189,0.476,1
Giannis Antetokounmpo,2756,75,36.7,"2018",10.0,4.8,2.9,26.9,0.598,0.207,0.537,1
Kristaps Porzingis,1553,48,32.4,"2018",6.6,1.2,3.1,22.7,0.539,0.099,0.354,1
Giannis Antetokounmpo,2358,72,32.8,"2019",12.5,5.9,2.8,27.7,0.644,0.292,0.732,1
Khris Middleton,2393,77,31.1,"2019",6.0,4.3,1.1,18.3,0.558,0.123,0.732,1
Kevin Durant,2702,78,34.6,"2019",6.4,5.9,1.8,26.0,0.631,0.204,0.695,1
Klay Thompson,2652,78,34.0,"2019",3.8,2.4,1.7,21.5,0.571,0.095,0.695,1
Stephen Curry,2331,69,33.8,"2019",5.3,5.2,1.7,27.3,0.641,0.199,0.695,1
Kawhi Leonard,2040,60,34.0,"2019",7.3,3.3,2.2,26.6,0.606,0.224,0.707,1
Kyle Lowry,2213,65,34.0,"2019",4.8,8.7,1.9,14.2,0.562,0.144,0.707,1
Rudy Gobert,2577,81,31.8,"2019",12.9,2.0,3.1,15.9,0.682,0.268,0.61,1
James Harden,2867,78,36.8,"2019",6.6,7.5,2.8,36.1,0.616,0.254,0.646,1
Kyrie Irving,2214,67,33.0,"2019",5.0,6.9,2.0,23.8,0.592,0.197,0.598,1
Damian Lillard,2838,80,35.5,"2019",4.6,6.9,1.5,25.8,0.588,0.205,0.646,1
Nikola Jokic,2504,80,31.3,"2019",10.8,7.3,2.0,20.1,0.589,0.226,0.659,1
Victor Oladipo,1147,36,31.9,"2019",5.6,5.2,2.0,18.8,0.519,0.097,0.585,1
Paul George,2841,77,36.9,"2019",8.2,4.1,2.6,28.0,0.583,0.201,0.598,1
Russell Westbrook,2630,73,36.0,"2019",11.1,10.7,2.4,22.9,0.501,0.124,0.598,1
Ben Simmons,2700,79,34.2,"2019",8.8,7.7,2.2,16.9,0.582,0.146,0.622,1
Joel Embiid,2154,64,33.7,"2019",13.6,3.7,2.6,27.5,0.593,0.194,0.622,1
LaMarcus Aldridge,2687,81,33.2,"2019",9.2,2.4,1.9,21.3,0.576,0.167,0.585,1
Nikola Vucevic,2510,80,31.4,"2019",12.0,3.8,2.1,20.8,0.573,0.193,0.512,1
D'Angelo Russell,2448,81,30.2,"2019",3.9,7.0,1.5,21.1,0.533,0.097,0.512,1
Blake Griffin,2622,75,35.0,"2019",7.5,5.4,1.1,24.5,0.581,0.147,0.5,1
Dwyane Wade,1885,72,26.2,"2019",4.0,4.2,1.3,15.0,0.51,0.061,0.476,1
Kemba Walker,2863,82,34.9,"2019",4.4,5.9,1.7,25.6,0.558,0.123,0.476,1
Anthony Davis,1850,56,33.0,"2019",12.0,3.9,4.0,25.9,0.597,0.247,0.402,1
Dirk Nowitzki,795,51,15.6,"2019",3.1,0.7,0.5,7.3,0.469,0.016,0.402,1
Karl-Anthony Towns,2545,77,33.1,"2019",12.4,3.4,2.5,24.4,0.622,0.197,0.439,1
LeBron James,1937,55,35.2,"2019",8.5,8.3,1.9,27.4,0.588,0.179,0.451,1
Bradley Beal,3028,82,36.9,"2019",5.0,5.5,2.2,25.6,0.581,0.12,0.39,1
Giannis Antetokounmpo,1917,63,30.4,"2020",13.6,5.6,2.0,29.5,0.613,0.279,0.767,1
Khris Middleton,1853,62,29.9,"2020",6.2,4.3,1.0,20.9,0.619,0.205,0.767,1
Jayson Tatum,2265,66,34.3,"2020",7.0,3.0,2.3,23.4,0.567,0.146,0.667,1
Kemba Walker,1742,56,31.1,"2020",3.9,4.8,1.4,20.4,0.575,0.162,0.667,1
Kawhi Leonard,1848,57,32.4,"2020",7.1,4.9,2.4,27.1,0.589,0.226,0.681,1
Kyle Lowry,2098,58,36.2,"2020",5.0,7.5,1.9,19.4,0.59,0.171,0.736,1
Pascal Siakam,2110,60,35.2,"2020",7.3,3.5,1.9,22.9,0.554,0.123,0.736,1
Anthony Davis,2131,62,34.4,"2020",9.3,3.2,3.8,26.1,0.61,0.25,0.732,1
LeBron James,2316,67,34.6,"2020",7.8,10.2,1.7,25.3,0.577,0.204,0.732,1
Luka Doncic,2047,61,33.6,"2020",9.4,8.8,1.2,28.8,0.585,0.207,0.573,1
Bam Adebayo,2417,72,33.6,"2020",10.2,5.1,2.4,15.9,0.598,0.168,0.603,1
Jimmy Butler,1959,58,33.8,"2020",6.7,6.0,2.3,19.9,0.585,0.221,0.603,1
James Harden,2483,68,36.5,"2020",6.6,7.5,2.7,34.3,0.626,0.254,0.611,1
Russell Westbrook,2049,57,35.9,"2020",7.9,7.0,2.0,27.2,0.536,0.098,0.611,1
Donovan Mitchell,2364,69,34.3,"2020",4.4,4.3,1.2,24.0,0.558,0.11,0.611,1
Rudy Gobert,2333,68,34.3,"2020",13.5,1.5,2.7,15.1,0.699,0.221,0.611,1
Ben Simmons,2017,57,35.4,"2020",7.8,8.0,2.7,16.4,0.602,0.165,0.589,1
Joel Embiid,1506,51,29.5,"2020",11.6,3.0,2.2,23.0,0.59,0.192,0.589,1
Nikola Jokic,2336,73,32.0,"2020",9.7,7.0,1.8,19.9,0.605,0.202,0.63,1
Domantas Sabonis,2159,62,34.8,"2020",12.4,5.0,1.2,18.5,0.586,0.168,0.616,1
Chris Paul,2208,70,31.5,"2020",5.0,6.7,1.7,17.6,0.61,0.193,0.611,1
Devin Booker,2512,70,35.9,"2020",4.2,6.5,1.0,26.6,0.618,0.143,0.466,1
Damian Lillard,2474,66,37.5,"2020",4.3,8.0,1.4,30.0,0.627,0.225,0.473,1
Brandon Ingram,2104,62,33.9,"2020",6.1,4.2,1.6,23.8,0.587,0.115,0.417,1
Trae Young,2120,60,35.3,"2020",4.3,9.3,1.2,29.6,0.595,0.133,0.299,1
Donovan Mitchell,1771,53,33.4,"2021",4.4,5.2,1.3,26.4,0.569,0.167,0.722,1
Mike Conley,1498,51,29.4,"2021",3.5,6.0,1.5,16.2,0.589,0.197,0.722,1
Rudy Gobert,2187,71,30.8,"2021",13.5,1.3,3.2,14.3,0.683,0.248,0.722,1
Kawhi Leonard,1773,52,34.1,"2021",6.5,5.2,2.0,24.8,0.622,0.238,0.653,1
Paul George,1821,54,33.7,"2021",6.6,5.2,1.6,23.3,0.598,0.139,0.653,1
Chris Paul,2199,70,31.4,"2021",4.5,8.9,1.7,16.4,0.599,0.201,0.708,1
Devin Booker,2270,67,33.9,"2021",4.2,4.3,1.0,25.6,0.587,0.104,0.708,1
Giannis Antetokounmpo,2013,61,33.0,"2021",11.0,5.9,2.4,28.1,0.633,0.244,0.639,1
Ben Simmons,1877,58,32.4,"2021",7.2,6.9,2.2,14.3,0.584,0.153,0.681,1
Joel Embiid,1585,51,31.1,"2021",10.6,2.8,2.3,28.5,0.636,0.266,0.681,1
Nikola Jokic,2488,72,34.6,"2021",10.8,8.3,2.0,26.4,0.647,0.301,0.653,1
Kevin Durant,1157,35,33.1,"2021",7.1,5.6,2.0,26.9,0.666,0.206,0.667,1
Kyrie Irving,1886,54,34.9,"2021",4.8,6.0,2.1,26.9,0.614,0.189,0.667,1
Anthony Davis,1162,36,32.3,"2021",7.9,3.1,2.9,21.8,0.556,0.152,0.583,1
LeBron James,1504,45,33.4,"2021",7.7,7.8,1.6,25.0,0.602,0.179,0.583,1
Luka Doncic,2262,66,34.3,"2021",8.0,8.6,1.5,27.7,0.587,0.163,0.583,1
Julius Randle,2667,71,37.6,"2021",10.2,6.0,1.2,24.1,0.567,0.14,0.569,1
Damian Lillard,2398,67,35.8,"2021",4.2,7.5,1.2,28.8,0.623,0.209,0.583,1
Jaylen Brown,1999,58,34.5,"2021",6.0,3.4,1.8,24.7,0.586,0.115,0.5,1
Jayson Tatum,2290,64,35.8,"2021",7.4,4.3,1.7,26.4,0.576,0.137,0.5,1
Stephen Curry,2152,63,34.2,"2021",5.5,5.8,1.3,32.0,0.655,0.201,0.542,1
Jimmy Butler,1745,52,33.6,"2021",6.9,7.1,2.4,21.5,0.607,0.255,0.556,1
Domantas Sabonis,2231,62,36.0,"2021",12.0,6.7,1.8,20.3,0.601,0.149,0.472,1
Zion Williamson,2026,61,33.2,"2021",7.2,3.7,1.6,27.0,0.649,0.205,0.431,1
Zach LaVine,2034,58,35.1,"2021",5.0,4.9,1.3,27.4,0.634,0.138,0.431,1
Bradley Beal,2147,60,35.8,"2021",4.7,4.4,1.5,31.3,0.593,0.132,0.472,1
