"Player","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allLeague"
Arron Afflalo,"2013",3.7,3.2,0.8,16.5,0.527,0.042,0.244,0
LaMarcus Aldridge,"2013",9.1,2.6,2.1,21.1,0.53,0.124,0.402,1
Lavoy Allen,"2013",5.0,0.9,1.0,5.8,0.474,0.072,0.415,0
Ray Allen,"2013",2.7,1.7,1.0,10.9,0.599,0.126,0.805,0
Tony Allen,"2013",4.6,1.2,2.1,8.9,0.489,0.115,0.683,0
Al-Farouq Aminu,"2013",7.7,1.4,1.9,7.3,0.519,0.073,0.329,0
Alan Anderson,"2013",2.3,1.6,0.8,10.7,0.509,0.052,0.415,0
Ryan Anderson,"2013",6.4,1.2,0.9,16.2,0.548,0.125,0.329,0
Carmelo Anthony,"2013",6.9,2.6,1.3,28.7,0.56,0.184,0.659,1
Trevor Ariza,"2013",4.8,2.0,1.6,9.5,0.538,0.102,0.354,0
Omer Asik,"2013",11.7,0.9,1.6,10.1,0.558,0.108,0.549,0
J.J. Barea,"2013",2.8,4.0,0.4,11.3,0.51,0.053,0.378,0
Harrison Barnes,"2013",4.1,1.2,0.8,9.2,0.526,0.065,0.573,0
Matt Barnes,"2013",4.6,1.5,1.8,10.3,0.566,0.146,0.683,0
Brandon Bass,"2013",5.2,1.0,1.3,8.7,0.535,0.101,0.506,0
Shane Battier,"2013",2.3,1.0,1.3,6.6,0.623,0.119,0.805,0
Nicolas Batum,"2013",5.6,4.9,2.4,14.3,0.566,0.099,0.402,0
Jerryd Bayless,"2013",2.2,3.3,1.0,8.7,0.514,0.108,0.683,0
Bradley Beal,"2013",3.8,2.4,1.4,13.9,0.515,0.082,0.354,0
Michael Beasley,"2013",3.8,1.5,0.9,10.1,0.462,-0.047,0.305,0
Marco Belinelli,"2013",1.9,2.0,0.7,9.6,0.513,0.076,0.549,0
Bismack Biyombo,"2013",7.3,0.4,2.1,4.8,0.472,0.031,0.256,0
Andray Blatche,"2013",5.1,1.0,1.7,10.3,0.547,0.153,0.598,0
Eric Bledsoe,"2013",3.0,3.1,2.2,8.5,0.513,0.115,0.683,0
Carlos Boozer,"2013",9.8,2.3,1.2,16.2,0.51,0.108,0.549,0
Chris Bosh,"2013",6.8,1.7,2.3,16.6,0.592,0.175,0.805,1
Elton Brand,"2013",6.0,1.0,1.9,7.2,0.499,0.107,0.5,0
Corey Brewer,"2013",2.9,1.5,1.7,12.1,0.506,0.093,0.695,0
Shannon Brown,"2013",2.5,1.8,1.3,10.5,0.493,0.041,0.305,0
Kobe Bryant,"2013",5.6,6.0,1.7,27.3,0.57,0.174,0.549,1
Caron Butler,"2013",2.9,1.0,0.8,10.4,0.535,0.091,0.683,0
Jimmy Butler,"2013",4.0,1.4,1.3,8.6,0.574,0.158,0.549,0
Vince Carter,"2013",4.1,2.4,1.5,13.4,0.571,0.137,0.5,0
Mario Chalmers,"2013",2.2,3.5,1.7,8.6,0.576,0.12,0.805,0
Tyson Chandler,"2013",10.7,0.9,1.8,10.4,0.671,0.207,0.659,1
Earl Clark,"2013",5.5,1.1,1.4,7.3,0.51,0.08,0.549,0
Norris Cole,"2013",1.6,2.1,0.8,5.6,0.483,0.019,0.805,0
Darren Collison,"2013",2.7,5.1,1.3,12.0,0.575,0.114,0.5,0
Nick Collison,"2013",4.1,1.5,1.0,5.1,0.624,0.158,0.732,0
Mike Conley,"2013",2.8,6.1,2.5,14.6,0.549,0.172,0.683,0
DeMarcus Cousins,"2013",9.9,2.7,2.2,17.1,0.524,0.092,0.341,0
Jamal Crawford,"2013",1.7,2.5,1.2,16.5,0.558,0.116,0.683,0
Dante Cunningham,"2013",5.1,0.8,1.5,8.7,0.485,0.084,0.378,0
Stephen Curry,"2013",4.0,6.9,1.8,22.9,0.589,0.18,0.573,0
Anthony Davis,"2013",8.2,1.0,2.9,13.5,0.559,0.159,0.329,0
Carlos Delfino,"2013",3.3,2.0,1.1,10.6,0.549,0.101,0.549,0
Luol Deng,"2013",6.3,3.0,1.5,16.5,0.508,0.105,0.549,1
DeMar DeRozan,"2013",3.9,2.5,1.2,18.1,0.523,0.075,0.415,0
Boris Diaw,"2013",3.4,2.4,1.1,5.8,0.603,0.124,0.707,0
Goran Dragic,"2013",3.1,7.4,1.9,14.7,0.54,0.106,0.305,0
Andre Drummond,"2013",7.6,0.5,2.6,7.9,0.578,0.172,0.354,0
Jared Dudley,"2013",3.1,2.6,1.1,10.9,0.582,0.106,0.305,0
Tim Duncan,"2013",9.9,2.7,3.4,17.8,0.554,0.191,0.707,1
Mike Dunleavy,"2013",3.9,1.9,1.0,10.5,0.577,0.109,0.463,0
Kevin Durant,"2013",7.9,4.6,2.7,28.1,0.647,0.291,0.732,1
Monta Ellis,"2013",3.9,6.0,2.5,19.2,0.493,0.071,0.463,0
Reggie Evans,"2013",11.1,0.5,1.1,4.5,0.506,0.105,0.598,0
Tyreke Evans,"2013",4.4,3.5,1.8,15.2,0.558,0.105,0.341,0
Kenneth Faried,"2013",9.2,1.0,2.1,11.5,0.573,0.167,0.695,0
Derrick Favors,"2013",7.1,1.0,2.6,9.4,0.533,0.117,0.524,0
Raymond Felton,"2013",2.9,5.5,1.6,13.9,0.505,0.087,0.659,0
Landry Fields,"2013",4.1,1.2,0.8,4.7,0.487,0.052,0.415,0
Randy Foye,"2013",1.5,2.0,1.1,10.8,0.55,0.08,0.524,0
Danilo Gallinari,"2013",5.2,2.5,1.4,16.2,0.561,0.151,0.695,0
Kevin Garnett,"2013",7.8,2.3,2.1,14.8,0.535,0.133,0.506,1
Marc Gasol,"2013",7.8,4.0,2.7,14.1,0.559,0.197,0.683,1
Pau Gasol,"2013",8.6,4.1,1.7,13.7,0.512,0.107,0.549,0
Alonzo Gee,"2013",3.9,1.6,1.7,10.3,0.505,0.036,0.293,0
Paul George,"2013",7.6,4.1,2.5,17.4,0.531,0.145,0.605,1
Taj Gibson,"2013",5.3,0.9,1.8,8.0,0.518,0.109,0.549,0
Manu Ginobili,"2013",3.4,4.6,1.6,11.8,0.56,0.155,0.707,0
Ben Gordon,"2013",1.7,1.9,0.7,11.2,0.515,-0.018,0.256,0
Marcin Gortat,"2013",8.5,1.2,2.3,11.1,0.543,0.086,0.305,0
Danny Green,"2013",3.1,1.8,1.8,10.5,0.6,0.128,0.707,0
Jeff Green,"2013",3.9,1.6,1.5,12.8,0.561,0.099,0.506,0
Blake Griffin,"2013",8.3,3.7,1.8,18.0,0.572,0.196,0.683,1
James Harden,"2013",4.9,5.8,2.3,25.9,0.6,0.206,0.549,1
Maurice Harkless,"2013",4.4,0.7,2.0,8.2,0.504,0.059,0.244,0
Devin Harris,"2013",2.0,3.4,1.3,9.9,0.565,0.111,0.537,0
Spencer Hawes,"2013",7.2,2.2,1.7,11.0,0.514,0.096,0.415,0
Gordon Hayward,"2013",3.1,3.0,1.3,14.1,0.564,0.123,0.524,0
Gerald Henderson,"2013",3.7,2.6,1.5,15.5,0.531,0.073,0.256,0
Roy Hibbert,"2013",8.3,1.4,3.1,11.9,0.489,0.129,0.605,0
J.J. Hickson,"2013",10.4,1.1,1.2,12.7,0.591,0.142,0.402,0
Nene,"2013",6.7,2.9,1.5,12.6,0.538,0.116,0.354,0
George Hill,"2013",3.7,4.7,1.4,14.2,0.558,0.177,0.605,0
Kirk Hinrich,"2013",2.6,5.2,1.5,7.7,0.493,0.085,0.549,0
Jrue Holiday,"2013",4.2,8.0,2.0,17.7,0.496,0.055,0.415,1
Al Horford,"2013",10.2,3.2,2.1,17.4,0.56,0.153,0.537,0
Dwight Howard,"2013",12.4,1.4,3.6,17.1,0.573,0.134,0.549,1
Serge Ibaka,"2013",7.7,0.5,3.4,13.2,0.612,0.181,0.732,0
Andre Iguodala,"2013",5.3,5.4,2.4,13.0,0.52,0.097,0.695,0
Ersan Ilyasova,"2013",7.1,1.6,1.4,13.2,0.552,0.159,0.463,0
Kyrie Irving,"2013",3.7,5.9,1.9,22.5,0.553,0.125,0.293,1
Jarrett Jack,"2013",3.1,5.6,0.9,12.9,0.542,0.115,0.573,0
LeBron James,"2013",8.0,7.3,2.6,26.8,0.64,0.322,0.805,1
Antawn Jamison,"2013",4.8,0.7,0.7,9.4,0.561,0.126,0.549,0
Al Jefferson,"2013",9.2,2.1,2.2,17.8,0.522,0.143,0.524,0
Brandon Jennings,"2013",3.1,6.5,1.7,17.5,0.51,0.096,0.463,0
Amir Johnson,"2013",7.5,1.5,2.4,10.0,0.591,0.151,0.415,0
Joe Johnson,"2013",3.0,3.5,0.9,16.3,0.521,0.092,0.598,0
DeAndre Jordan,"2013",7.2,0.3,2.0,8.8,0.606,0.148,0.683,0
Chris Kaman,"2013",5.6,0.8,1.2,10.5,0.529,0.058,0.5,0
Jason Kidd,"2013",4.3,3.3,2.0,6.0,0.532,0.128,0.659,0
Michael Kidd-Gilchrist,"2013",5.8,1.5,1.6,9.0,0.506,0.051,0.256,0
Andrei Kirilenko,"2013",5.7,2.8,2.5,12.4,0.59,0.142,0.378,0
Brandon Knight,"2013",3.3,4.0,0.9,13.3,0.511,0.022,0.354,0
Kyle Korver,"2013",4.0,2.0,1.4,10.9,0.637,0.137,0.537,0
Kosta Koufos,"2013",6.9,0.4,1.8,8.0,0.585,0.171,0.695,0
Carl Landry,"2013",6.0,0.8,0.8,10.8,0.605,0.159,0.573,0
Ty Lawson,"2013",2.7,6.9,1.6,16.7,0.549,0.141,0.695,0
Courtney Lee,"2013",2.4,1.8,1.4,7.8,0.545,0.082,0.506,0
David Lee,"2013",11.2,3.5,1.1,18.5,0.561,0.15,0.573,1
Kawhi Leonard,"2013",6.0,1.6,2.2,11.9,0.592,0.166,0.707,0
Damian Lillard,"2013",3.1,6.5,1.1,19.0,0.546,0.088,0.402,0
Jeremy Lin,"2013",3.0,6.1,2.0,13.4,0.538,0.099,0.549,0
Brook Lopez,"2013",6.9,0.9,2.5,19.4,0.567,0.191,0.598,1
Robin Lopez,"2013",5.6,0.8,2.0,11.3,0.573,0.126,0.329,0
Kyle Lowry,"2013",4.7,6.4,1.7,11.6,0.543,0.133,0.415,0
Shawn Marion,"2013",7.8,2.4,1.8,12.1,0.553,0.127,0.5,0
Kevin Martin,"2013",2.3,1.4,1.0,14.0,0.608,0.157,0.732,0
Wesley Matthews,"2013",2.8,2.5,1.6,14.8,0.574,0.093,0.402,0
Jason Maxiell,"2013",5.7,0.8,1.8,6.9,0.478,0.047,0.354,0
O.J. Mayo,"2013",3.5,4.4,1.4,15.3,0.556,0.069,0.5,0
Luc Mbah a Moute,"2013",4.4,0.9,1.0,6.7,0.447,0.017,0.463,0
Jodie Meeks,"2013",2.2,0.9,0.8,7.9,0.54,0.085,0.549,0
C.J. Miles,"2013",2.7,1.0,1.0,11.2,0.551,0.092,0.293,0
Andre Miller,"2013",2.9,5.9,1.0,9.6,0.548,0.12,0.695,0
Paul Millsap,"2013",7.1,2.6,2.3,14.6,0.55,0.154,0.524,0
Greg Monroe,"2013",9.6,3.5,2.0,16.0,0.527,0.105,0.354,0
E'Twaun Moore,"2013",2.2,2.7,1.0,7.8,0.471,0.006,0.244,0
Markieff Morris,"2013",4.8,1.3,1.7,8.2,0.473,0.044,0.305,0
Byron Mullens,"2013",6.4,1.5,1.2,10.6,0.465,0.005,0.256,0
Steve Nash,"2013",2.8,6.7,0.7,12.7,0.605,0.127,0.549,0
Gary Neal,"2013",2.1,1.9,0.5,9.5,0.512,0.06,0.707,0
Jameer Nelson,"2013",3.7,7.4,1.4,14.7,0.498,0.05,0.244,0
Joakim Noah,"2013",11.1,4.0,3.3,11.9,0.534,0.145,0.549,1
Steve Novak,"2013",1.9,0.4,0.4,6.6,0.602,0.116,0.659,0
Dirk Nowitzki,"2013",6.8,2.5,1.4,17.3,0.564,0.145,0.5,0
Lamar Odom,"2013",5.9,1.7,1.5,4.0,0.429,0.081,0.683,0
Emeka Okafor,"2013",8.8,1.2,1.5,9.7,0.496,0.104,0.354,0
Zaza Pachulia,"2013",6.5,1.5,0.9,5.9,0.534,0.116,0.537,0
Tony Parker,"2013",3.0,7.6,0.9,20.3,0.588,0.206,0.707,1
Chandler Parsons,"2013",5.3,3.5,1.4,15.5,0.584,0.121,0.549,0
Chris Paul,"2013",3.7,9.7,2.6,16.9,0.594,0.287,0.683,1
Nikola Pekovic,"2013",8.8,0.9,1.5,16.3,0.572,0.163,0.378,0
Kendrick Perkins,"2013",6.0,1.4,1.6,4.2,0.479,0.062,0.732,0
Paul Pierce,"2013",6.3,4.8,1.5,18.6,0.559,0.135,0.506,0
Quincy Pondexter,"2013",2.2,1.0,0.7,6.4,0.565,0.125,0.683,0
A.J. Price,"2013",2.0,3.6,0.6,7.7,0.501,0.084,0.354,0
Zach Randolph,"2013",11.2,1.4,1.2,15.4,0.506,0.145,0.683,1
Luke Ridnour,"2013",2.5,3.8,1.2,11.5,0.532,0.084,0.378,0
Austin Rivers,"2013",1.8,2.1,0.6,6.2,0.431,-0.038,0.329,0
Nate Robinson,"2013",2.2,4.4,1.2,13.1,0.54,0.136,0.549,0
Ricky Rubio,"2013",4.0,7.3,2.5,10.7,0.482,0.085,0.378,0
John Salmons,"2013",2.7,3.0,1.0,8.8,0.509,0.034,0.341,0
Larry Sanders,"2013",9.5,1.2,3.6,9.8,0.523,0.149,0.463,0
Luis Scola,"2013",6.6,2.2,1.2,12.8,0.516,0.096,0.305,0
Thabo Sefolosha,"2013",3.9,1.5,1.8,7.6,0.617,0.146,0.732,0
Kevin Seraphin,"2013",4.4,0.7,1.1,9.1,0.478,0.004,0.354,0
Ramon Sessions,"2013",2.8,3.8,0.9,14.4,0.529,0.084,0.256,0
Alexey Shved,"2013",2.3,3.7,1.1,8.6,0.474,0.02,0.378,0
Kyle Singler,"2013",4.0,0.9,1.1,8.8,0.517,0.048,0.354,0
J.R. Smith,"2013",5.3,2.7,1.6,18.1,0.522,0.12,0.659,0
Josh Smith,"2013",8.4,4.2,3.0,17.5,0.501,0.075,0.537,0
Tiago Splitter,"2013",6.4,1.6,1.6,10.3,0.609,0.197,0.707,0
Lance Stephenson,"2013",3.9,2.9,1.2,8.8,0.53,0.115,0.605,0
DeShawn Stevenson,"2013",2.2,0.9,0.6,5.1,0.522,0.061,0.537,0
Rodney Stuckey,"2013",2.8,3.6,0.9,11.5,0.505,0.055,0.354,0
Jeff Taylor,"2013",1.9,0.8,0.8,6.1,0.531,0.039,0.256,0
Jeff Teague,"2013",2.3,7.2,1.8,14.6,0.543,0.111,0.537,0
Garrett Temple,"2013",2.4,2.3,1.3,5.1,0.478,0.049,0.354,0
Jason Terry,"2013",2.0,2.5,1.0,10.1,0.566,0.091,0.506,0
Isaiah Thomas,"2013",2.0,4.0,0.9,13.9,0.574,0.114,0.341,0
Jason Thompson,"2013",6.7,1.0,1.3,10.9,0.533,0.075,0.341,0
Klay Thompson,"2013",3.7,2.2,1.6,16.6,0.533,0.07,0.573,0
Tristan Thompson,"2013",9.4,1.3,1.6,11.7,0.516,0.098,0.293,0
Marcus Thornton,"2013",2.5,1.3,0.9,12.7,0.552,0.089,0.341,0
P.J. Tucker,"2013",4.4,1.4,1.0,6.4,0.525,0.074,0.305,0
Evan Turner,"2013",6.3,4.3,1.1,13.3,0.478,0.035,0.415,0
Jonas Valanciunas,"2013",6.0,0.7,1.5,8.9,0.619,0.127,0.415,0
Greivis Vasquez,"2013",4.3,9.0,0.9,13.9,0.502,0.067,0.329,0
Nikola Vucevic,"2013",11.9,1.9,1.8,13.1,0.534,0.106,0.244,0
Dwyane Wade,"2013",5.0,5.1,2.7,21.2,0.571,0.192,0.805,1
Dion Waiters,"2013",2.4,3.0,1.2,14.7,0.492,0.026,0.293,0
Kemba Walker,"2013",3.5,5.7,2.3,17.7,0.517,0.08,0.256,0
John Wall,"2013",4.0,7.6,2.1,18.5,0.521,0.134,0.354,0
Gerald Wallace,"2013",4.6,2.6,2.1,7.7,0.49,0.072,0.598,0
C.J. Watson,"2013",1.8,2.0,1.0,6.8,0.544,0.12,0.598,0
Martell Webster,"2013",3.9,1.9,0.9,11.4,0.601,0.138,0.354,0
David West,"2013",7.7,2.9,2.0,17.1,0.545,0.179,0.605,0
Russell Westbrook,"2013",5.2,7.4,2.1,23.2,0.532,0.195,0.732,1
Deron Williams,"2013",3.0,7.7,1.3,18.9,0.574,0.184,0.598,0
Derrick Williams,"2013",5.5,0.6,1.0,12.0,0.515,0.076,0.378,0
Marvin Williams,"2013",3.6,1.1,1.0,7.2,0.515,0.063,0.524,0
Metta World Peace,"2013",5.0,1.5,2.2,12.4,0.517,0.086,0.549,0
Dorell Wright,"2013",3.8,1.9,1.2,9.2,0.551,0.132,0.415,0
Nick Young,"2013",2.2,1.4,0.8,10.6,0.525,0.079,0.415,0
Thaddeus Young,"2013",7.5,1.6,2.5,14.8,0.541,0.136,0.415,0
Tyler Zeller,"2013",5.7,1.2,1.4,7.9,0.486,0.048,0.293,0
Arron Afflalo,"2014",3.6,3.4,0.5,18.2,0.574,0.099,0.28,0
LaMarcus Aldridge,"2014",11.1,2.6,1.9,23.2,0.507,0.144,0.659,1
Ray Allen,"2014",2.8,2.0,0.8,9.6,0.59,0.101,0.659,0
Tony Allen,"2014",3.8,1.7,2.0,9.0,0.531,0.1,0.61,0
Al-Farouq Aminu,"2014",6.2,1.4,1.5,7.2,0.516,0.072,0.415,0
Alan Anderson,"2014",2.2,1.0,0.8,7.2,0.525,0.047,0.537,0
James Anderson,"2014",3.8,1.9,1.3,10.1,0.53,0.039,0.232,0
Giannis Antetokounmpo,"2014",4.4,1.9,1.6,6.8,0.518,0.031,0.183,0
Carmelo Anthony,"2014",8.1,3.1,1.9,27.4,0.561,0.172,0.451,1
Trevor Ariza,"2014",6.2,2.5,1.9,14.4,0.59,0.141,0.537,0
Harrison Barnes,"2014",4.0,1.5,1.1,9.5,0.486,0.07,0.622,0
Matt Barnes,"2014",4.6,2.0,1.3,9.9,0.552,0.097,0.695,0
Brandon Bass,"2014",5.7,1.1,1.3,11.1,0.549,0.107,0.305,0
Shane Battier,"2014",1.9,0.9,1.2,4.1,0.523,0.078,0.659,0
Nicolas Batum,"2014",7.5,5.1,1.6,13.0,0.589,0.128,0.659,0
Bradley Beal,"2014",3.7,3.3,1.2,17.1,0.507,0.076,0.537,0
Marco Belinelli,"2014",2.8,2.2,0.7,11.4,0.605,0.14,0.756,0
Patrick Beverley,"2014",3.5,2.7,1.8,10.2,0.545,0.116,0.659,0
Andray Blatche,"2014",5.3,1.5,1.5,11.2,0.532,0.109,0.537,0
Andrew Bogut,"2014",10.0,1.7,2.5,7.3,0.61,0.176,0.622,0
Trevor Booker,"2014",5.3,0.9,1.2,6.8,0.563,0.132,0.537,0
Carlos Boozer,"2014",8.3,1.6,1.0,13.7,0.489,0.076,0.585,0
Chris Bosh,"2014",6.6,1.1,2.0,16.2,0.597,0.152,0.659,1
Avery Bradley,"2014",3.8,1.4,1.2,14.9,0.51,0.046,0.305,0
Corey Brewer,"2014",2.6,1.7,2.2,12.3,0.55,0.095,0.488,0
Trey Burke,"2014",3.0,5.7,0.7,12.8,0.473,0.02,0.305,0
Alec Burks,"2014",3.3,2.7,1.1,14.0,0.547,0.07,0.305,0
Jimmy Butler,"2014",4.9,2.6,2.4,13.1,0.522,0.131,0.585,0
Jose Calderon,"2014",2.4,4.7,1.0,11.4,0.596,0.122,0.598,0
Kentavious Caldwell-Pope,"2014",2.0,0.7,1.1,5.9,0.483,0.055,0.354,0
DeMarre Carroll,"2014",5.5,1.8,1.8,11.1,0.575,0.119,0.463,0
Vince Carter,"2014",3.5,2.6,1.2,11.9,0.539,0.105,0.598,0
Michael Carter-Williams,"2014",6.2,6.3,2.5,16.7,0.48,0.026,0.232,0
Mario Chalmers,"2014",2.9,4.9,1.8,9.8,0.567,0.106,0.659,0
Tyson Chandler,"2014",9.6,1.1,1.8,8.7,0.615,0.143,0.451,0
Wilson Chandler,"2014",4.7,1.8,1.2,13.6,0.526,0.076,0.439,0
Norris Cole,"2014",2.0,3.0,1.0,6.4,0.497,0.029,0.659,0
Darren Collison,"2014",2.4,3.7,1.4,11.4,0.575,0.136,0.695,0
Mike Conley,"2014",2.9,6.0,1.7,17.2,0.545,0.161,0.61,0
DeMarcus Cousins,"2014",11.7,2.9,2.8,22.7,0.555,0.166,0.341,0
Jamal Crawford,"2014",2.3,3.2,1.0,18.6,0.556,0.122,0.695,0
Dante Cunningham,"2014",4.1,1.0,1.5,6.3,0.474,0.085,0.488,0
Stephen Curry,"2014",4.3,8.5,1.8,24.0,0.61,0.225,0.622,1
Samuel Dalembert,"2014",6.8,0.5,1.7,6.6,0.605,0.147,0.598,0
Anthony Davis,"2014",10.0,1.6,4.1,20.8,0.582,0.212,0.415,1
DeMar DeRozan,"2014",4.3,4.0,1.4,22.7,0.532,0.141,0.585,1
Boris Diaw,"2014",4.1,2.8,1.0,9.1,0.578,0.12,0.756,0
Goran Dragic,"2014",3.2,5.9,1.7,20.3,0.604,0.186,0.585,1
Andre Drummond,"2014",13.2,0.4,2.9,13.5,0.599,0.182,0.354,0
Jared Dudley,"2014",2.2,1.4,0.7,6.9,0.541,0.068,0.695,0
Tim Duncan,"2014",9.7,3.0,2.5,15.1,0.535,0.164,0.756,0
Mike Dunleavy,"2014",4.2,2.3,1.3,11.3,0.549,0.121,0.585,0
Kevin Durant,"2014",7.4,5.5,2.0,32.0,0.635,0.295,0.72,1
Monta Ellis,"2014",3.6,5.7,2.0,19.0,0.532,0.078,0.598,0
Tyreke Evans,"2014",4.7,5.0,1.5,14.5,0.504,0.073,0.415,0
Kenneth Faried,"2014",8.6,1.2,1.7,13.7,0.573,0.144,0.439,0
Derrick Favors,"2014",8.7,1.2,2.5,13.3,0.556,0.112,0.305,0
Raymond Felton,"2014",3.0,5.6,1.6,9.7,0.476,0.053,0.451,0
Evan Fournier,"2014",2.7,1.5,0.5,8.4,0.533,0.043,0.439,0
Randy Foye,"2014",2.9,3.5,1.3,13.2,0.558,0.089,0.439,0
Channing Frye,"2014",5.1,1.2,1.5,11.1,0.555,0.109,0.585,0
Kevin Garnett,"2014",6.6,1.5,1.5,6.5,0.467,0.054,0.537,0
Marc Gasol,"2014",7.2,3.6,2.3,14.6,0.526,0.137,0.61,0
Pau Gasol,"2014",9.7,3.4,2.0,17.4,0.522,0.076,0.329,0
Paul George,"2014",6.8,3.5,2.2,21.7,0.555,0.178,0.683,1
Taj Gibson,"2014",6.8,1.1,1.9,13.0,0.524,0.117,0.585,0
Manu Ginobili,"2014",3.0,4.3,1.3,12.3,0.59,0.176,0.756,0
Eric Gordon,"2014",2.6,3.3,1.3,15.4,0.54,0.058,0.415,0
Marcin Gortat,"2014",9.5,1.7,2.0,13.2,0.568,0.146,0.537,0
Danny Green,"2014",3.4,1.5,1.9,9.1,0.58,0.122,0.756,0
Draymond Green,"2014",5.0,1.9,2.1,6.2,0.498,0.119,0.622,0
Gerald Green,"2014",3.4,1.5,1.4,15.8,0.585,0.126,0.585,0
Jeff Green,"2014",4.6,1.7,1.3,16.9,0.52,0.057,0.305,0
Blake Griffin,"2014",9.5,3.9,1.8,24.1,0.583,0.205,0.695,1
Tim Hardaway Jr.,"2014",1.5,0.8,0.6,10.2,0.554,0.08,0.451,0
James Harden,"2014",4.7,6.1,2.0,25.4,0.618,0.221,0.659,1
Maurice Harkless,"2014",3.3,1.0,1.8,7.4,0.542,0.068,0.28,0
Tobias Harris,"2014",7.0,1.3,1.1,14.6,0.542,0.107,0.28,0
Gordon Hayward,"2014",5.1,5.2,1.9,16.2,0.52,0.062,0.305,0
Gerald Henderson,"2014",4.0,2.6,1.1,14.0,0.507,0.071,0.524,0
John Henson,"2014",7.1,1.6,2.2,11.1,0.543,0.084,0.183,0
Roy Hibbert,"2014",6.6,1.1,2.6,10.8,0.499,0.108,0.683,1
J.J. Hickson,"2014",9.2,1.4,1.4,11.8,0.521,0.086,0.439,0
Nene,"2014",5.5,2.9,2.1,14.2,0.53,0.098,0.537,0
George Hill,"2014",3.7,3.5,1.3,10.3,0.563,0.154,0.683,0
Jordan Hill,"2014",7.4,0.8,1.3,9.7,0.579,0.141,0.329,0
Kirk Hinrich,"2014",2.6,3.9,1.5,9.1,0.494,0.085,0.585,0
Dwight Howard,"2014",12.2,1.8,2.6,18.3,0.6,0.161,0.659,1
Serge Ibaka,"2014",8.8,1.0,3.2,15.1,0.576,0.173,0.72,0
Andre Iguodala,"2014",4.7,4.2,1.8,9.3,0.57,0.135,0.622,0
Ersan Ilyasova,"2014",6.2,1.3,1.0,11.2,0.486,0.053,0.183,0
Kyrie Irving,"2014",3.6,6.1,1.8,20.8,0.533,0.128,0.402,1
Jarrett Jack,"2014",2.8,4.1,1.0,9.5,0.498,0.049,0.402,0
Reggie Jackson,"2014",3.9,4.1,1.2,13.1,0.527,0.104,0.72,0
LeBron James,"2014",6.9,6.3,1.9,27.1,0.649,0.264,0.659,1
Al Jefferson,"2014",10.8,2.1,2.0,21.8,0.532,0.146,0.524,1
Richard Jefferson,"2014",2.7,1.6,0.9,10.1,0.573,0.058,0.305,0
Brandon Jennings,"2014",3.1,7.6,1.4,15.5,0.486,0.068,0.354,0
Amir Johnson,"2014",6.6,1.5,1.9,10.4,0.592,0.136,0.585,0
Joe Johnson,"2014",3.4,2.7,0.7,15.8,0.564,0.091,0.537,1
Wesley Johnson,"2014",4.4,1.6,2.1,9.1,0.522,0.041,0.329,0
Terrence Jones,"2014",6.9,1.1,2.0,12.1,0.577,0.169,0.659,0
DeAndre Jordan,"2014",13.6,0.9,3.5,10.4,0.63,0.186,0.695,0
Enes Kanter,"2014",7.5,0.9,0.9,12.3,0.523,0.05,0.305,0
Ryan Kelly,"2014",3.7,1.6,1.3,8.0,0.548,0.081,0.329,0
Michael Kidd-Gilchrist,"2014",5.2,0.8,1.3,7.2,0.516,0.098,0.524,0
Brandon Knight,"2014",3.5,4.9,1.2,17.9,0.523,0.055,0.183,0
Kyle Korver,"2014",4.0,2.9,1.3,12.0,0.653,0.118,0.463,0
Jeremy Lamb,"2014",2.4,1.5,1.1,8.5,0.522,0.102,0.72,0
Ty Lawson,"2014",3.5,8.8,1.8,17.6,0.554,0.136,0.439,0
David Lee,"2014",9.3,2.1,1.1,18.2,0.566,0.16,0.622,0
Kawhi Leonard,"2014",6.2,2.0,2.5,12.8,0.602,0.193,0.756,0
Damian Lillard,"2014",3.5,5.6,1.0,20.7,0.568,0.157,0.659,1
Jeremy Lin,"2014",2.6,4.1,1.3,12.5,0.572,0.103,0.659,0
Shaun Livingston,"2014",3.2,3.2,1.6,8.3,0.551,0.108,0.537,0
Robin Lopez,"2014",8.5,0.9,2.0,11.1,0.605,0.176,0.659,0
Kevin Love,"2014",12.5,4.4,1.2,26.1,0.591,0.245,0.488,1
Kyle Lowry,"2014",4.7,7.4,1.7,17.9,0.567,0.197,0.585,0
Shelvin Mack,"2014",2.2,3.7,0.7,7.5,0.51,0.074,0.463,0
Shawn Marion,"2014",6.5,1.6,1.7,10.4,0.537,0.086,0.598,0
Kendall Marshall,"2014",2.9,8.8,1.0,8.0,0.494,0.029,0.329,0
Kevin Martin,"2014",3.0,1.8,1.1,19.1,0.553,0.117,0.488,0
Wesley Matthews,"2014",3.5,2.4,1.1,16.4,0.588,0.142,0.659,0
O.J. Mayo,"2014",2.4,2.2,0.8,11.7,0.516,0.002,0.183,0
Ben McLemore,"2014",2.9,1.0,0.8,8.8,0.485,0.016,0.341,0
Josh McRoberts,"2014",4.8,4.3,1.3,8.5,0.548,0.132,0.524,0
Jodie Meeks,"2014",2.5,1.8,1.5,15.7,0.601,0.084,0.329,0
Khris Middleton,"2014",3.8,2.1,1.3,12.1,0.541,0.053,0.183,0
Mike Miller,"2014",2.5,1.6,0.4,7.1,0.619,0.111,0.61,0
