"Player","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allLeague"
World B. Free,"1981",2.4,5.6,1.5,24.1,0.542,0.15,0.476,0
Calvin Garrett,"1981",3.8,1.9,0.9,6.1,0.483,0.04,0.488,0
George Gervin,"1981",5.1,3.2,1.8,27.1,0.555,0.182,0.634,1
Artis Gilmore,"1981",10.1,2.1,3.0,17.9,0.699,0.208,0.549,1
Mike Glenn,"1981",1.1,1.3,0.9,8.2,0.601,0.139,0.61,0
Mike Gminski,"1981",7.5,1.3,2.8,13.2,0.474,0.045,0.293,0
Dave Greenwood,"1981",8.8,2.7,2.5,14.4,0.528,0.126,0.549,0
Kevin Grevey,"1981",2.9,4.0,1.1,17.2,0.524,0.107,0.476,0
Paul Griffin,"1981",6.2,3.0,1.4,6.1,0.575,0.122,0.634,0
Darrell Griffith,"1981",3.6,2.4,1.8,20.6,0.496,0.006,0.341,0
Bob Gross,"1981",4.0,3.1,1.9,7.8,0.584,0.11,0.549,0
Ernie Grunfeld,"1981",2.6,2.6,0.9,7.5,0.561,0.106,0.488,0
Steve Hawes,"1981",7.6,2.3,1.4,12.0,0.585,0.119,0.378,0
Elvin Hayes,"1981",9.7,1.2,3.0,17.8,0.483,0.083,0.476,0
Gar Heard,"1981",4.5,1.6,2.3,4.8,0.428,0.059,0.439,0
Gerald Henderson,"1981",1.6,2.6,1.1,7.8,0.491,0.037,0.756,0
Tom Henderson,"1981",1.6,4.7,0.9,5.3,0.471,0.052,0.488,0
Keith Herron,"1981",2.6,1.9,1.5,13.7,0.511,0.074,0.256,0
Kenny Higgs,"1981",2.0,5.7,1.5,7.8,0.511,0.043,0.451,0
Johnny High,"1981",2.8,2.5,1.9,8.4,0.489,0.069,0.695,0
Lionel Hollins,"1981",2.3,4.3,1.5,9.5,0.506,0.064,0.756,0
Cedrick Hordges,"1981",6.7,1.5,0.8,8.4,0.509,0.044,0.451,0
Phil Hubbard,"1981",7.3,1.9,1.3,14.5,0.544,0.094,0.256,0
Dan Issel,"1981",8.5,2.0,1.7,21.9,0.575,0.19,0.451,0
Clemon Johnson,"1981",5.8,1.8,2.0,7.2,0.53,0.108,0.537,0
Dennis Johnson,"1981",4.6,3.7,2.5,18.8,0.516,0.154,0.695,1
Eddie Johnson,"1981",2.4,5.4,1.8,19.1,0.554,0.122,0.378,1
George Johnson,"1981",7.3,1.1,4.0,5.0,0.517,0.112,0.634,0
