"Player","Year","Age","ORPG","DRPG","RPG","APG","SPG","BPG","TOPG","PPG","PER","TS","3PAr","FTr","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","allstarFlag","allNBAFlag","Perc"
Hakeem Olajuwon,"1989",26,4,9,13,1,2,3,3,24,25.2,0.552,0.006,0.419,4.6,7.8,12.4,0.197,2.7,2.9,5.5,5.7,1,1,0.549
Mark Price,"1989",24,0,2,3,8,1,0,2,18,20.6,0.623,0.21,0.29,8.0,3.3,11.3,0.199,4.5,0.0,4.5,4.5,1,1,0.695
Dominique Wilkins,"1989",29,3,3,6,2,1,0,2,26,21.8,0.528,0.06,0.298,7.5,2.9,10.4,0.166,4.5,-1.1,3.4,4.1,1,1,0.634
Charles Barkley,"1990",26,4,6,11,3,1,0,3,25,27.1,0.661,0.078,0.632,13.1,4.2,17.3,0.269,7.2,1.0,8.2,8.0,1,1,0.646
Larry Bird,"1990",33,1,8,9,7,1,0,3,24,21.9,0.546,0.129,0.226,5.3,4.1,9.5,0.154,4.1,1.2,5.3,5.5,1,1,0.634
Tom Chambers,"1990",30,1,5,7,2,1,0,2,27,20.9,0.579,0.053,0.4,7.5,3.7,11.2,0.176,2.7,-0.3,2.3,3.3,1,1,0.659
Clyde Drexler,"1990",27,2,4,6,5,1,0,2,23,22.2,0.551,0.078,0.317,7.3,4.3,11.6,0.208,5.2,2.1,7.3,6.3,1,1,0.72
Joe Dumars,"1990",26,0,2,2,4,0,0,1,17,17.2,0.555,0.052,0.312,5.8,3.0,8.7,0.162,1.9,0.3,2.2,2.7,1,1,0.72
Patrick Ewing,"1990",27,2,8,10,2,0,3,3,28,25.8,0.599,0.002,0.387,8.3,5.3,13.5,0.205,3.7,1.8,5.5,6.0,1,1,0.549
Kevin Johnson,"1990",23,0,3,3,11,1,0,3,22,22.8,0.585,0.035,0.516,9.0,2.6,11.6,0.2,5.3,-0.4,5.0,4.9,1,1,0.659
Magic Johnson,"1990",30,1,4,6,11,1,0,3,22,26.6,0.622,0.243,0.56,12.8,3.8,16.5,0.27,8.3,1.8,10.1,8.9,1,1,0.768
Michael Jordan,"1990",26,1,5,6,6,2,0,3,33,31.2,0.606,0.125,0.356,14.7,4.3,19.0,0.285,9.1,2.1,11.2,10.6,1,1,0.671
Chris Mullin,"1990",26,1,4,5,4,1,0,3,25,22.7,0.643,0.184,0.447,8.9,1.3,10.2,0.174,5.6,-0.7,5.0,5.0,1,1,0.451
Hakeem Olajuwon,"1990",27,3,10,14,2,2,4,3,24,24.1,0.541,0.004,0.333,2.5,8.7,11.2,0.173,1.8,4.0,5.8,6.2,1,1,0.5
David Robinson,"1990",24,3,8,11,2,1,3,3,24,26.3,0.597,0.002,0.644,7.9,7.2,15.1,0.241,4.0,2.9,6.9,6.8,1,1,0.683
James Worthy,"1990",28,2,3,5,3,1,0,2,21,19.8,0.586,0.038,0.244,7.5,3.1,10.6,0.172,3.6,0.2,3.8,4.3,1,1,0.768
Charles Barkley,"1991",27,3,6,10,4,1,0,3,27,28.9,0.635,0.133,0.564,10.3,3.1,13.4,0.258,8.3,1.0,9.3,7.0,1,1,0.537
Clyde Drexler,"1991",28,2,4,6,6,1,0,2,21,22.1,0.563,0.143,0.392,8.0,4.5,12.4,0.209,5.2,1.7,6.8,6.4,1,1,0.768
Joe Dumars,"1991",27,0,1,2,5,1,0,2,20,18.0,0.552,0.035,0.323,6.8,3.1,9.9,0.155,2.6,0.1,2.7,3.6,1,1,0.61
Patrick Ewing,"1991",28,2,8,11,3,0,3,3,26,23.7,0.561,0.004,0.379,4.4,5.6,10.0,0.155,2.5,1.7,4.2,4.9,1,1,0.476
Kevin Johnson,"1991",24,0,2,3,10,2,0,3,22,23.7,0.604,0.038,0.538,9.5,3.3,12.7,0.22,5.5,1.1,6.6,6.0,1,1,0.671
Magic Johnson,"1991",31,1,5,6,12,1,0,3,19,25.1,0.623,0.256,0.587,11.2,4.2,15.4,0.251,7.0,1.9,9.0,8.1,1,1,0.707
Michael Jordan,"1991",27,1,4,6,5,2,1,2,31,31.6,0.605,0.051,0.365,14.9,5.4,20.3,0.321,8.9,3.2,12.0,10.8,1,1,0.744
Bernard King,"1991",34,1,3,4,4,0,0,3,28,19.1,0.527,0.024,0.321,1.9,1.6,3.5,0.07,2.8,-1.7,1.1,1.8,1,1,0.366
Chris Mullin,"1991",27,1,3,5,4,2,0,2,25,21.4,0.618,0.092,0.4,9.7,2.4,12.2,0.176,4.5,0.1,4.7,5.6,1,1,0.537
David Robinson,"1991",25,4,8,12,2,1,3,3,25,27.4,0.615,0.005,0.569,9.4,7.6,17.0,0.264,5.2,3.3,8.5,8.2,1,1,0.671
Dominique Wilkins,"1991",31,3,5,9,3,1,0,2,25,23.5,0.555,0.152,0.35,8.6,2.8,11.4,0.177,5.4,-0.5,4.9,5.4,1,1,0.524
James Worthy,"1991",29,1,3,4,3,1,0,1,21,18.1,0.531,0.062,0.183,5.5,3.5,9.0,0.143,2.2,0.3,2.5,3.4,1,1,0.707
Charles Barkley,"1992",28,3,7,11,4,1,0,3,23,24.5,0.612,0.122,0.58,8.6,3.7,12.3,0.205,5.6,0.8,6.3,6.1,1,1,0.427
Brad Daugherty,"1992",26,2,7,10,3,0,1,2,21,23.0,0.629,0.002,0.528,8.2,3.5,11.7,0.213,4.2,0.6,4.8,4.5,1,1,0.695
Clyde Drexler,"1992",29,2,4,6,6,1,0,3,25,23.6,0.56,0.229,0.342,8.3,4.5,12.8,0.223,6.8,1.9,8.7,7.4,1,1,0.695
Patrick Ewing,"1992",29,2,8,11,1,1,2,2,24,22.8,0.563,0.004,0.335,6.1,6.9,13.0,0.198,2.6,2.2,4.9,5.5,1,1,0.622
Tim Hardaway,"1992",25,1,2,3,9,2,0,3,23,19.1,0.537,0.236,0.244,7.2,2.0,9.2,0.132,3.9,-1.1,2.8,4.1,1,1,0.671
Michael Jordan,"1992",28,1,5,6,6,2,0,2,30,27.7,0.579,0.055,0.325,12.1,5.6,17.7,0.274,7.2,2.5,9.7,9.2,1,1,0.817
Chris Mullin,"1992",28,1,3,5,3,2,0,2,25,19.9,0.586,0.11,0.265,8.1,2.7,10.8,0.155,3.6,0.1,3.7,4.8,1,1,0.671
Scottie Pippen,"1992",26,2,5,7,6,1,1,3,20,21.5,0.555,0.059,0.319,7.1,5.5,12.7,0.192,4.1,2.0,6.1,6.4,1,1,0.817
Mark Price,"1992",27,0,1,2,7,1,0,2,17,22.7,0.61,0.291,0.318,7.5,1.6,9.1,0.205,6.1,-0.4,5.8,4.2,1,1,0.695
David Robinson,"1992",26,3,8,12,2,2,4,2,23,27.5,0.597,0.007,0.522,7.0,6.9,13.9,0.26,4.8,4.6,9.4,7.4,1,1,0.573
Dennis Rodman,"1992",30,6,12,18,2,0,0,1,9,17.0,0.574,0.159,0.22,5.6,7.0,12.6,0.183,1.9,0.9,2.8,4.0,1,1,0.585
Kevin Willis,"1992",29,5,10,15,2,0,0,2,18,19.7,0.535,0.03,0.297,4.7,4.1,8.8,0.143,1.6,-1.4,0.2,1.7,1,1,0.463
Charles Barkley,"1993",29,3,9,12,5,1,0,3,25,25.9,0.596,0.16,0.423,9.6,4.8,14.4,0.242,6.3,1.4,7.8,7.1,1,1,0.756
Joe Dumars,"1993",29,0,1,1,4,1,0,1,23,17.6,0.555,0.206,0.273,7.8,1.3,9.1,0.141,2.9,-0.7,2.1,3.2,1,1,0.488
Patrick Ewing,"1993",30,2,9,12,1,0,1,3,24,20.8,0.546,0.005,0.359,2.6,8.1,10.6,0.17,1.4,2.0,3.4,4.0,1,1,0.732
Tim Hardaway,"1993",26,0,3,3,10,1,0,3,21,19.7,0.534,0.265,0.314,5.9,1.6,7.5,0.138,4.5,-0.9,3.6,3.7,1,1,0.415
Michael Jordan,"1993",29,1,4,6,5,2,0,2,32,29.7,0.564,0.115,0.284,12.0,5.2,17.2,0.27,8.7,2.6,11.2,10.2,1,1,0.695
Hakeem Olajuwon,"1993",30,3,9,13,3,1,4,3,26,27.3,0.577,0.005,0.356,7.9,8.0,15.8,0.234,3.9,3.6,7.5,7.8,1,1,0.671
