"Player","Year","Age","ORPG","DRPG","RPG","APG","SPG","BPG","TOPG","PPG","PER","TS","3PAr","FTr","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","allstarFlag","allNBAFlag","Perc"
Russell Westbrook,"2019",30,1,9,11,10,1,0,4,22,21.1,0.501,0.279,0.306,1.8,5.0,6.8,0.124,2.8,2.4,5.2,4.7,1,1,0.598
Giannis Antetokounmpo,"2020",25,2,11,13,5,0,1,3,29,31.9,0.613,0.237,0.508,6.1,5.0,11.1,0.279,7.4,4.1,11.5,6.6,1,1,0.767
Jimmy Butler,"2020",30,1,4,6,6,1,0,2,19,23.6,0.585,0.157,0.693,6.3,2.7,9.0,0.221,4.0,1.5,5.4,3.7,1,1,0.603
Anthony Davis,"2020",26,2,7,9,3,1,2,2,26,27.4,0.61,0.199,0.479,6.7,4.4,11.1,0.25,5.4,2.6,8.0,5.4,1,1,0.732
Luka Doncic,"2020",20,1,8,9,8,1,0,4,28,27.6,0.585,0.431,0.448,6.5,2.3,8.8,0.207,7.4,1.0,8.4,5.4,1,1,0.573
James Harden,"2020",30,1,5,6,7,1,0,4,34,29.1,0.626,0.557,0.528,9.9,3.2,13.1,0.254,8.1,1.6,9.6,7.3,1,1,0.611
LeBron James,"2020",35,0,6,7,10,1,0,3,25,25.5,0.577,0.326,0.292,6.2,3.6,9.8,0.204,6.6,1.8,8.4,6.1,1,1,0.732
Nikola Jokic,"2020",24,2,7,9,7,1,0,3,19,24.9,0.605,0.238,0.281,6.7,3.1,9.8,0.202,5.5,2.0,7.4,5.5,1,1,0.63
Kawhi Leonard,"2020",28,0,6,7,4,1,0,2,27,26.9,0.589,0.287,0.355,5.4,3.3,8.7,0.226,6.5,2.4,8.9,5.1,1,1,0.681
Damian Lillard,"2020",29,0,3,4,8,1,0,2,29,26.9,0.627,0.5,0.384,10.9,0.7,11.6,0.225,8.3,-0.9,7.5,5.9,1,1,0.473
Chris Paul,"2020",34,0,4,4,6,1,0,2,17,21.7,0.61,0.343,0.315,5.9,3.0,8.9,0.193,3.0,1.4,4.4,3.5,1,1,0.611
Pascal Siakam,"2020",25,1,6,7,3,1,0,2,22,17.9,0.554,0.331,0.274,1.8,3.6,5.4,0.123,1.3,0.5,1.8,2.0,1,1,0.736
Ben Simmons,"2020",23,1,5,7,7,2,0,3,16,20.4,0.602,0.011,0.461,3.8,3.1,6.9,0.165,1.3,2.3,3.6,2.8,1,1,0.589
Jayson Tatum,"2020",21,0,6,6,3,1,0,2,23,20.4,0.567,0.383,0.255,3.2,3.7,6.9,0.146,3.5,0.6,4.0,3.4,1,1,0.667
Russell Westbrook,"2020",31,1,6,7,7,1,0,4,27,21.0,0.536,0.166,0.297,1.7,2.5,4.2,0.098,1.6,-0.1,1.5,1.8,1,1,0.611
Giannis Antetokounmpo,"2021",26,1,9,11,5,1,1,3,28,29.2,0.633,0.201,0.528,6.9,3.3,10.2,0.244,6.2,2.6,8.8,5.5,1,1,0.639
Bradley Beal,"2021",27,1,3,4,4,1,0,3,31,22.7,0.593,0.27,0.332,4.2,1.7,5.9,0.132,4.9,-1.7,3.2,2.8,1,1,0.472
Stephen Curry,"2021",32,0,5,5,5,1,0,3,31,26.3,0.655,0.587,0.289,6.5,2.5,9.0,0.201,8.1,0.0,8.1,5.5,1,1,0.542
Luka Doncic,"2021",21,0,7,7,8,0,0,4,27,25.3,0.587,0.406,0.349,5.1,2.6,7.7,0.163,6.1,0.6,6.7,5.0,1,1,0.583
Joel Embiid,"2021",26,2,8,10,2,0,1,3,28,30.3,0.636,0.171,0.61,5.6,3.2,8.8,0.266,6.2,1.0,7.2,3.7,1,1,0.681
Paul George,"2021",30,0,5,6,5,1,0,3,23,20.5,0.598,0.437,0.239,3.0,2.3,5.3,0.139,4.0,-0.4,3.7,2.6,1,1,0.653
LeBron James,"2021",36,0,7,7,7,1,0,3,25,24.2,0.602,0.346,0.31,3.0,2.6,5.6,0.179,5.9,1.6,7.5,3.6,1,1,0.583
Nikola Jokic,"2021",25,2,7,10,8,1,0,3,26,31.3,0.647,0.183,0.305,12.2,3.4,15.6,0.301,9.2,2.5,11.7,8.6,1,1,0.653
Kawhi Leonard,"2021",29,1,5,6,5,1,0,2,24,26.0,0.622,0.28,0.325,6.4,2.4,8.8,0.238,5.7,1.0,6.7,3.9,1,1,0.653
Damian Lillard,"2021",30,0,3,4,7,0,0,3,28,25.6,0.623,0.528,0.363,9.6,0.8,10.4,0.209,7.4,-1.6,5.9,4.8,1,1,0.583
Chris Paul,"2021",35,0,4,4,8,1,0,2,16,21.4,0.599,0.294,0.206,6.5,2.7,9.2,0.201,3.4,1.3,4.7,3.7,1,1,0.708
Julius Randle,"2021",26,1,9,10,6,0,0,3,24,19.7,0.567,0.294,0.325,3.4,4.3,7.8,0.14,3.0,0.7,3.7,3.8,1,1,0.569
