Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Solomon Hill,hillso01,2022,PF,30,ATL,9,96,3.5,.214,.714,.000,3.5,13.1,8.4,12.2,1.5,1.9,6.7,6.8,-0.1,0.1,0.0,.005,-6.0,0.7,-5.3,-0.1
Aaron Holiday,holidaa01,2022,PG,25,WAS,19,336,7.8,.483,.327,.129,1.3,8.5,5.1,15.3,1.5,1.7,17.7,17.1,-0.3,0.3,0.1,.009,-4.2,-0.1,-4.3,-0.2
Jrue Holiday,holidjr01,2022,PG,31,MIL,14,427,14.6,.500,.378,.133,2.0,12.6,7.5,28.9,2.3,1.3,15.7,23.9,0.1,0.5,0.6,.070,-1.1,-0.5,-1.6,0.1
Justin Holiday,holidju01,2022,SF,32,IND,21,584,8.9,.546,.767,.061,1.1,9.6,5.5,8.1,0.9,0.6,10.2,15.3,0.3,0.4,0.7,.058,-1.3,-1.0,-2.3,0.0
Richaun Holmes,holmeri01,2022,C,28,SAC,18,493,23.1,.732,.025,.299,10.9,27.2,19.1,6.9,0.6,3.2,14.0,17.8,1.8,0.5,2.3,.220,2.4,-0.5,1.8,0.5
Rodney Hood,hoodro01,2022,SF,29,MIL,13,191,8.1,.521,.714,.167,1.7,11.5,6.8,7.0,1.0,0.0,4.2,10.6,0.2,0.1,0.3,.083,-2.3,-1.3,-3.6,-0.1
Al Horford,horfoal01,2022,C,35,BOS,17,491,19.4,.549,.419,.233,5.7,24.6,15.0,18.3,1.4,5.7,9.1,18.6,0.9,0.9,1.8,.177,1.9,2.1,4.0,0.7
Talen Horton-Tucker,hortota01,2022,SG,21,LAL,8,245,10.1,.475,.323,.172,2.6,14.8,8.8,11.8,1.5,1.5,10.7,19.5,-0.1,0.2,0.1,.027,-3.4,-1.2,-4.6,-0.2
Danuel House,houseda01,2022,SF,28,HOU,11,139,8.8,.469,.447,.255,1.5,19.6,10.5,11.0,1.7,2.7,16.1,18.7,-0.2,0.2,0.0,-0.001,-3.8,0.0,-3.8,-0.1
Dwight Howard,howardw01,2022,C,36,LAL,19,258,17.8,.709,.149,.830,10.3,27.2,18.9,4.3,2.7,3.8,20.9,13.4,0.5,0.5,0.9,.176,-0.7,1.4,0.7,0.2
Markus Howard,howarma02,2022,SG,22,DEN,9,48,8.4,.421,.682,.182,0.0,2.3,1.1,12.0,3.1,0.0,7.8,23.9,-0.1,0.0,0.0,-0.029,-3.7,-0.7,-4.4,0.0
Kevin Huerter,huertke01,2022,SG,23,ATL,19,471,12.0,.571,.481,.052,1.6,13.1,7.5,13.6,0.6,0.8,11.8,16.5,0.5,0.1,0.7,.071,-0.6,-0.9,-1.5,0.1
Jay Huff,huffja01,2022,C,23,LAL,1,8,5.4,.000,1.000,.000,13.2,12.9,13.1,14.9,0.0,0.0,0.0,5.3,0.0,0.0,0.0,.000,-5.3,-0.8,-6.1,0.0
Elijah Hughes,hugheel01,2022,SF,23,UTA,4,11,0.5,.347,.500,1.000,0.0,9.4,4.9,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,-0.018,-8.4,-2.8,-11.2,0.0
De'Andre Hunter,huntede01,2022,SF,24,ATL,11,306,7.7,.516,.342,.090,1.4,8.9,5.3,3.2,1.1,0.9,10.8,18.4,-0.1,0.1,0.0,-0.006,-3.9,-1.6,-5.6,-0.3
Chandler Hutchison,hutchch01,2022,SF,25,PHO,3,9,-1.3,1.000,.000,.000,0.0,44.1,23.0,14.3,0.0,0.0,75.0,19.2,-0.1,0.0,0.0,-0.207,-12.1,-1.9,-14.0,0.0
Bones Hyland,hylanbo01,2022,PG,21,DEN,14,216,13.0,.499,.663,.147,2.0,12.3,7.1,16.0,2.3,1.3,9.8,23.2,0.0,0.2,0.3,.064,-1.8,0.4,-1.5,0.0
Serge Ibaka,ibakase01,2022,C,32,LAC,5,52,4.3,.355,.263,.421,8.3,15.5,12.0,8.1,0.9,4.9,15.1,22.2,-0.2,0.1,-0.1,-0.061,-9.5,-0.5,-10.0,-0.1
Andre Iguodala,iguodan01,2022,SF,38,GSW,12,250,12.5,.493,.535,.140,3.6,14.0,9.1,22.7,1.7,4.0,16.5,9.4,0.4,0.5,0.8,.161,-0.6,2.7,2.1,0.3
Joe Ingles,inglejo01,2022,SF,34,UTA,19,468,11.6,.592,.796,.053,2.2,10.6,6.6,17.6,1.2,0.5,14.1,12.5,0.8,0.4,1.2,.128,0.6,0.1,0.7,0.3
Brandon Ingram,ingrabr01,2022,SF,24,NOP,14,492,14.3,.516,.254,.228,2.6,17.6,10.0,23.3,0.4,0.9,14.3,29.8,-0.1,0.2,0.1,.009,0.2,-2.2,-2.0,0.0
Frank Jackson,jacksfr01,2022,PG,23,DET,19,401,9.9,.534,.643,.188,1.2,5.9,3.4,4.7,1.2,1.1,8.8,19.5,0.1,0.1,0.2,.023,-2.7,-1.3,-4.0,-0.2
Isaiah Jackson,jacksis01,2022,PF,20,IND,3,16,3.8,.255,.000,.400,6.9,26.5,16.9,0.0,3.1,5.3,0.0,16.0,0.0,0.0,0.0,-0.027,-9.5,0.0,-9.5,0.0
Jaren Jackson Jr.,jacksja02,2022,PF,22,MEM,19,509,16.2,.527,.479,.240,4.7,18.1,11.1,5.6,1.6,6.5,9.5,24.4,0.4,0.2,0.6,.057,-0.7,-1.7,-2.5,-0.1
Josh Jackson,jacksjo02,2022,SF,24,DET,17,347,11.0,.517,.467,.275,3.1,17.1,9.5,15.0,0.8,2.1,14.6,19.4,0.0,0.2,0.2,.024,-2.7,-1.2,-3.9,-0.2
Reggie Jackson,jacksre01,2022,SG,31,LAC,19,650,13.4,.512,.517,.101,2.0,8.9,5.5,18.7,1.0,0.3,9.8,25.4,0.2,0.7,0.9,.070,-0.2,-1.3,-1.5,0.1
