Player,PlayerID,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Larry Demic,demicla01,1982,PF,24,NYK,48,356,5.7,.459,.012,.470,9.1,16.4,12.7,5.0,0.5,1.0,20.6,14.6,,-0.4,0.2,-0.1,-0.017,,-5.3,-1.2,-6.5,-0.4
Kenny Dennard,dennake01,1982,PF,23,KCK,30,607,11.1,.541,.000,.331,8.5,16.3,12.3,8.6,2.7,0.8,20.2,11.7,,0.3,0.8,1.1,.084,,-1.6,1.6,0.0,0.3
Coby Dietrick,dietrco01,1982,C,33,CHI,74,999,10.8,.496,.005,.270,7.5,13.6,10.7,11.5,2.4,1.7,16.4,11.2,,0.5,1.1,1.7,.080,,-1.3,2.0,0.7,0.7
Mickey Dillard,dillami01,1982,PG,23,CLE,33,221,7.0,.410,.051,.291,2.9,4.9,3.8,21.1,1.8,0.5,16.0,19.8,,-0.3,0.0,-0.2,-0.051,,-4.9,-0.9,-5.8,-0.3
James Donaldson,donalja01,1982,C,24,SEA,82,1710,16.0,.630,.000,.573,9.1,21.6,15.6,4.1,0.8,4.5,18.0,15.5,,2.2,3.4,5.6,.156,,-0.5,1.7,1.2,1.4
John Douglas,dougljo01,1982,SG,25,SDC,64,1031,12.1,.515,.152,.262,3.0,7.5,5.2,19.6,2.2,0.5,17.5,20.8,,0.3,0.2,0.5,.022,,-1.5,-1.1,-2.5,-0.1
Leon Douglas,douglle01,1982,C,27,KCK,63,1093,6.5,.491,.000,.571,11.1,18.9,14.9,3.8,0.6,2.0,23.9,8.6,,-0.1,1.1,1.0,.044,,-4.2,0.0,-4.2,-0.6
John Drew,drewjo01,1982,SF,27,ATL,70,2040,18.1,.553,.013,.513,9.3,11.5,10.4,8.1,1.6,0.1,13.2,28.7,,3.2,2.4,5.5,.130,,1.4,-1.1,0.3,1.2
Larry Drew,drewla01,1982,PG,23,KCK,81,1973,15.3,.520,.036,.250,1.7,7.0,4.2,29.3,2.6,0.0,17.2,21.0,,1.3,1.7,3.0,.074,,0.4,-0.3,0.1,1.0
Terry Duerod,duerote01,1982,SG,25,BOS,21,146,12.5,.438,.013,.156,4.6,6.6,5.7,11.9,1.0,0.4,2.4,23.1,,0.1,0.1,0.2,.071,,-2.2,-0.7,-2.9,0.0
Mike Dunleavy,dunlemi01,1982,SG,27,HOU,70,1315,13.2,.524,.191,.236,1.9,7.0,4.4,23.7,1.7,0.1,13.9,17.9,,1.8,0.7,2.6,.093,,-0.5,-0.5,-1.0,0.3
T.R. Dunn,dunntr01,1982,SG,26,DEN,82,2519,12.1,.559,.002,.427,9.2,14.4,11.9,8.3,2.3,0.7,17.0,10.9,,2.9,1.1,4.0,.076,,0.7,-0.1,0.6,1.7
John Duren,durenjo01,1982,PG,23,UTA,79,1056,7.0,.478,.041,.138,1.4,7.3,4.3,18.2,0.9,0.2,20.2,13.5,,-0.3,0.0,-0.3,-0.013,,-4.0,-1.8,-5.8,-1.0
Craig Dykema,dykemcr01,1982,SF,22,PHO,32,103,11.1,.525,.108,.243,3.3,9.4,6.4,20.2,0.9,0.0,14.6,19.2,,0.1,0.1,0.2,.095,,-3.3,-0.1,-3.4,0.0
Franklin Edwards,edwarfr01,1982,PG,22,PHI,42,291,13.7,.463,.060,.180,4.0,6.3,5.2,22.5,2.6,1.0,12.9,26.6,,-0.1,0.4,0.2,.041,,-2.4,-0.2,-2.7,0.0
James Edwards,edwarja01,1982,C,26,CLE,77,2539,15.8,.545,.004,.328,7.9,18.6,12.9,7.4,0.5,2.6,12.1,21.8,,3.0,1.3,4.3,.080,,-0.4,-0.8,-1.2,0.5
Len Elmore,elmorle01,1982,C,29,NJN,81,2100,11.8,.506,.000,.261,8.9,14.9,11.9,6.4,2.0,2.6,15.8,16.4,,0.5,3.6,4.1,.094,,-2.2,1.4,-0.8,0.6
Alex English,englial01,1982,SF,28,DEN,82,3015,22.2,.596,.005,.285,7.7,12.0,9.9,19.9,1.3,2.0,13.0,25.3,,8.9,0.6,9.5,.152,,4.9,-1.1,3.8,4.4
Julius Erving,ervinju01,1982,SF,31,PHI,81,2789,25.9,.593,.008,.377,9.3,13.0,11.2,18.1,2.8,2.9,11.4,28.1,,8.7,4.6,13.3,.229,,6.0,1.7,7.7,6.8
Mike Evans,evansmi01,1982,PG,26,TOT,22,270,7.3,.438,.070,.233,2.1,7.2,4.6,21.0,2.3,0.0,21.5,18.4,,-0.4,0.3,-0.1,-0.013,,-4.1,0.1,-4.0,-0.2
Mike Evans,evansmi01,1982,PG,26,MIL,14,196,7.2,.498,.039,.235,1.8,5.1,3.5,14.5,2.2,0.0,21.0,15.0,,-0.1,0.2,0.2,.041,,-3.9,0.4,-3.6,-0.1
Mike Evans,evansmi01,1982,PG,26,CLE,8,74,7.5,.350,.114,.229,2.9,13.0,7.6,38.0,2.6,0.0,22.2,27.6,,-0.3,0.0,-0.2,-0.158,,-4.4,-0.8,-5.2,-0.1
Eric Fernsten,fernser01,1982,C,28,BOS,43,202,8.1,.458,.000,.612,6.7,16.0,11.5,4.8,1.2,1.9,17.3,14.9,,-0.1,0.3,0.2,.047,,-3.6,0.4,-3.2,0.0
Chris Ford,fordch01,1982,SG,33,BOS,76,1591,7.8,.458,.140,.124,3.7,3.8,3.7,11.1,1.2,0.3,9.9,13.3,,0.7,1.4,2.1,.063,,-2.2,0.2,-2.0,0.0
